pmid	doi	year	pubdate	title	journal	authors	abstract
42374342	10.1186/s12912-026-04942-z	2026	2026 Jun 29	Undergraduate nursing students' perceptions, needs, and expectations regarding large language model-based virtual patients: a qualitative study.	BMC nursing	Zeng J; Zhu X; Liu X; Li S; Shen S; Zhang Q; Cao S	Communication competence is a core component of clinical competence among undergraduate nursing students. However, conventional communication teaching is often constrained by limited contextual authenticity, insufficient opportunities for repeated practice, and inadequate feedback support. Large language model-based virtual patients (LLM-VPs) offer a new approach to nursing communication training, but limited evidence exists on how undergraduate nursing students, based on their prior communication-learning experiences, anticipate the educational value, functional requirements, and boundaries of such systems. This study aimed to explore undergraduate nursing students' anticipated perceptions, functional needs, preliminary acceptance, and views on potential risks and boundaries regarding the use of LLM-VPs for communication training before they had used a dedicated LLM-VP system. The findings were intended to provide early evidence for the integration of this technology into nursing education. This study employed a descriptive qualitative design. A total of 15 undergraduate nursing students were recruited through convenience sampling. Data were collected through semi-structured interviews after written informed consent had been obtained from each participant. Data collection and analysis were conducted concurrently until theoretical saturation was reached. The collected data were coded and analyzed using thematic analysis, with the assistance of NVivo 14 software. Four main themes were identified: emerging educational gaps and competence needs; expected system form and design requirements; mechanisms underlying trust and sustained use; and perceived risks and boundaries of applicability. Overall, nursing students expressed cautiously optimistic expectations toward LLM-VPs and articulated diverse functional expectations for aligning these systems with nursing-specific learning needs. From the anticipatory perspective of undergraduate nursing students, LLM-VPs have practical appeal and potential utility in nursing communication education. However, their educational value remains conditional and requires further validation in real-use studies. Students expected LLM-VPs to function not as replacements for real clinical encounters but as supplementary training tools that support repeated practice, immediate feedback, and preclinical rehearsal. Future implementation should be grounded in nursing-specific adaptation, deep curricular integration, rigorous knowledge verification, ethical governance, and empirical evaluation of real-world educational effects to support standardized, cautious, and sustainable use in nursing education.
42351097	10.1186/s12909-026-09709-3	2026	2026 Jun 25	Development and pilot evaluation of a large language model-based clinical simulation system for medical education in gastroenterology.	BMC medical education	Maimaris S; Tedino G; Memoli GA; Crisciotti C; Albrizio A; Sammartino C; Bartolotta E; Massetti G	Medical education relies on experience to develop clinical reasoning skills, yet patient access is often limited. Large language models (LLMs) offer an accessible alternative for simulating patient encounters. We aimed to develop and evaluate an LLM-based clinical simulation system for gastroenterology that simulates entire clinical encounters in natural language, from history-taking through to treatment and follow-up planning. The study was conducted in three phases. First, a system comprising an LLM-based clinical case generator, an LLM-based patient simulator, and a web chat interface was developed and iteratively refined. Second, two gastroenterology fellows performed 20 clinical case simulations each as initial testers, providing feedback that guided further system adjustments. Third, six independent gastroenterology fellows, blinded to the development process, evaluated the final system by completing the same 20 clinical simulations. All evaluators rated the system using a 5-point Likert scale across four domains: case presentation accuracy, adaptability to user interactions, realism, and educational value. A total of 160 evaluations were collected across 20 cases and 8 raters. At final evaluation, all domains scored highly: educational value (mean 4.57 ± 0.63), accuracy (4.42 ± 0.63), adaptability (4.33 ± 0.75), and realism (4.32 ± 0.81). Scores differed significantly across domains (p < 0.01), with educational value rated highest. Evaluation panellists rated all domains significantly higher than initial testers (all p < 0.01) at an exploratory comparison. The LLM-based clinical simulator demonstrated high accuracy, realism, adaptability, and educational value for gastroenterology case simulation in this pilot evaluation, and may represent an accessible and cost-effective tool for clinical reasoning training.
42326139	10.7759/cureus.109161	2026	2026 May	Robustness of a Large Language Model (LLM)-Based Virtual Patient for Japanese History-Taking Training Under Direct and Indirect Instructional Contamination.	Cureus	Harada Y	Large language model (LLM)-based virtual patients are increasingly used to scale history-taking practice in undergraduate and postgraduate medical education. For clinical simulation, reliability requires not only avoidance of harmful content but also role-consistent case fidelity, dialogue continuity, and adherence to constraints on what the simulated patient should disclose. We evaluated these dimensions as an operational robustness benchmark, not as evidence of deployment readiness. We systematically stress-tested a Japanese LLM-based virtual patient under six robustness conditions: clean inputs, noise, direct contamination, direct contamination with defense, indirect contamination, and indirect contamination with defense. Case fidelity was measured using the slot-level F1 score, a 0-to-1 measure combining precision and recall for expected case-history elements, excluding the opening greeting turn. Information coverage was measured using turn-target hit rate, defined as the fraction of prespecified target slots elicited at the intended interview turns. Proxy constraint-adherence outcomes included refusal, clarification, forbidden information leakage, contradiction, and role drift. Under clean inputs, case fidelity was high (0.947; 95% confidence interval (CI), 0.940-0.955), and turn-target hit rate was 0.946 (95% CI, 0.932-0.959). Noise preserved overall case fidelity (0.941; 95% CI, 0.934-0.949) but reduced turn-target hit rate (0.823; 95% CI, 0.806-0.841). Direct contamination caused severe degradation in fidelity (0.098; 95% CI, 0.052-0.144) and turn-target hit rate (0.077; 95% CI, 0.034-0.119). With preprocessing defense, performance returned to near-clean levels (fidelity, 0.945; 95% CI, 0.938-0.952; hit rate, 0.942; 95% CI, 0.930-0.955). Indirect contamination showed near-clean fidelity (0.946; 95% CI, 0.938-0.954) and hit rate (0.952; 95% CI, 0.940-0.965), with minimal additional benefit from defense. Refusal and clarification rates were 0 across all conditions, and role drift events were not observed. However, forbidden information leakage occurred at approximately 0.60 events per episode under the clean condition (0.600; 95% CI, 0.502-0.698), indicating incomplete constraint adherence despite high case fidelity. In this controlled sequential virtual patient benchmark, direct prompt contamination was the dominant failure mode in terms of case fidelity and information coverage, while noise primarily reduced target-slot acquisition. A simple preprocessing defense mitigated direct-contamination effects on fidelity and information coverage, but persistent forbidden-information leakage indicates that additional safeguards and external validation are required before claims of safe clinical or educational deployment can be made.
42322138	10.1080/0142159X.2026.2681965	2026	2026 Jun 20	Voluntary use of LLM-powered virtual standardized patients and medical students' interview performance: An observational study.	Medical teacher	Gao X; Feng J; Duan L; Wang L; Xu H; Sun X; Huang X	Large language model (LLM)-powered Virtual Standardized Patients (VSPs) offer scalable practice opportunities for clinical interviewing, but their added value within established human Standardized Patient (SP) curricula remains unclear. This study examined how self-directed VSP engagement relates to interview performance on traditional SP assessments through the lens of self-regulated learning theory. We analyzed VSP usage logs and SP assessment data from fourth-year medical students (n = 92) enrolled in a 7-week diagnostics course with weekly human SP sessions and optional VSP access. Engagement was measured by valid sessions and total question-answer (QA) pairs. The primary outcome was the composite SP interview score (0-100). Associations were evaluated using correlation and regression analyses. Students generated 359 valid dialogues comprising 19,380 QA pairs (hallucination rate 0.34%). Median engagement was 2 sessions (IQR 1-7) and 132 QA pairs (IQR 38-323). Session frequency correlated modestly with SP scores (ρ = 0.25, p=.016); each additional session predicted a 0.15-point increase (R2=0.070). Students with ≥7 sessions outperformed those with fewer (94.1 ± 2.0 vs 92.5 ± 2.4, p=.013). QA volume showed a stronger association (ρ = 0.28, p=.006), explaining 10.6% of variance. The high-QA group (≥132) scored higher than the low-QA group (93.3 ± 2.3 vs 92.3 ± 2.3, p=.030). Voluntary VSP use within a human SP curriculum was associated with small but measurable differences in interview performance. Findings align with self-regulated learning and deliberate practice frameworks-students who independently sought repeated, feedback-rich practice tended to achieve higher scores. These observational data do not establish causality. VSPs may serve as scalable cognitive scaffolds for self-directed skill refinement, though their benefits likely vary with learner motivation and baseline ability.
42322107	10.1002/jac5.70238	2026	2026 Jul	Utilization of Artificial Intelligence as Simulated Patients to Enhance Student Interviewing Skills in the Pharmacy Curriculum Across Multiple Programs.	Journal of the American College of Clinical Pharmacy : JACCP	Walter JM; Volino L; Knockel L; Kleppinger EL; Parrish J; Stafford R	Traditional methods to practice patient interviewing skills for student pharmacists include the use of actors and role-playing. While effective, they can be difficult to manage with large class sizes, cost, and time to train. Artificial intelligence (AI) and large language models (LLMs) are readily accessible to offer students a scalable solution to practice collecting information from a controlled, dynamic simulated patient (SP). Five programs collaborated to create multiple educational activities that utilized AI as an SP for student pharmacists to practice their patient interviewing skills. Each activity included patient cases focused on self-care related topics. Student participants ranged from professional year one to three (P1-P3). A voluntary, anonymous survey was developed to assess baseline demographics and student perceptions of the activities. Out of 602 students across the five programs, 304 (50.5%) voluntarily completed the survey. Most students were born in Generation Z (1997-2012), identified as white/Caucasian, and had previously used AI. The majority of the students used the written feature to complete the activity. Overall, students reported that the AI activity was easy to use and considered it useful to practice patient interviewing skills. Students from two programs favored the use of the AI activity, while the other three programs favored traditional role-playing with partners. Students stated they missed the real-life human component of practicing with a partner. AI can be utilized as an SP to assist students in practicing their patient interviewing skills with a variety of topics. Students found the LLM easy to use, helped with their interviewing skills, and wanted to see it utilized more in the pharmacy curriculum. Future activities should find ways to incorporate more real-life components.
42241338	10.2196/84747	2026	2026 Jun 04	A Large Language Model-Powered Multiagent Framework Emulating Standardized Patients in Clinical Communication Skills Training: Development and Evaluation Study.	Journal of medical Internet research	Qu Y; Xu X; Long Y; Wang Y; Li J; Lu X	Effective clinical communication is essential for medical practice, with standardized patients (SPs) being a reliable standard training method despite resource limitations. While large language models (LLMs) show strong role-playing abilities, current virtual patients (VPs) based on single LLMs face fidelity and interaction challenges. Recent advances in multiagent frameworks, which have demonstrated considerable potential in handling complex tasks, offer a new perspective for creating VPs in medical education. This study aimed to develop and evaluate a novel multiagent VP framework that simulates SPs through a collaborative agent design, thereby enhancing human-like fidelity and interaction performance in clinical communication training-oriented VP simulation. Our multiagent framework constructed 5 specialized subagents by simulating the functional partitioning of brain regions, collaboratively simulating the entire process, from case reception to interactive consultation scenarios, designed for medical students. To enhance the interaction performance of VPs, we incorporated retrieval-augmented technology, while deep character reasoning was used to improve response richness and realism. We evaluated the proposed framework through a 2-phase experiment in which the metrics of response quality, role-playing performance, interaction efficiency, information accumulation, and perceived educational utility were applied consistently: first, to compare different base models, and second, to benchmark the complete framework against a single-LLM baseline. The multiagent framework outperformed single-LLM baselines across multiple evaluation settings, achieving high information accuracy and role-playing scores under standardized dialogue conditions. Specifically, the GPT-4o-based implementation achieved peak factual consistency of 0.769 (SD 0.04), while all configurations maintained >94% clinical accuracy. The Qwen3-32B-based framework achieved the lowest misleading rate of 1.28% (SD 1.20), compared to 4.72% (SD 1.53%) for single-LLM scoring. In assessments using standard dialogue scripts, the Qwen3-32B-based framework attained the highest role-playing competency score of 39.67 (SD 0.71) and received high expert praise. However, limited discriminative power against specific leading questions on low-quality inquiries indicated that while these findings specifically establish high fidelity under structured conditions, further adaptation is required for authentic student interactions. Interaction efficiency remained practical with acceptable latency (~3 s) based on Qwen3-32B while maintaining a stable information pace during multiturn dialogues. Furthermore, a preliminary exploration of factual consistency and role-playing ability across 5 clinical departments demonstrated potential scalability. The multiagent framework offers a viable simulation of SPs through the coordinated interaction of multiple LLM-based agents. This approach enhances the performance of VP simulation, providing a customizable and scalable solution for medical communication training, without compromising patient confidentiality. The framework holds substantial potential for advancing medical education approaches.
42221810	10.5334/pme.2379	2026	2026	Teaching Personalized Doctor-Patient Communication with AI: PerTRAIN - a Prototype for Interpersonally Responsive Virtual Patients in Medical Education.	Perspectives on medical education	Junga A; Hätscher O; Dabel J; Mado G; Ajani A; Pielage L; Kockwelp P; Breil SM	Personalized medicine requires physicians to adapt clinical communication and decision-making to patients' individual motives, emotions, and interpersonal behaviors. However, training these skills remains challenging, as established simulation-based formats-particularly actor-based simulations-are resource-intensive and difficult to scale. Consequently, there is a need for scalable and flexible training approaches that allow repeated practice across diverse patient personalities and clinical contexts. The PerTRAIN (Personalization Training in Medicine) project addresses this need by leveraging large language models (LLMs) to simulate virtual patients with dynamically adapting personality expression at scale. Grounded in Contemporary Integrative Interpersonal Theory (CIIT), patient behavior is modelled along the dimensions of agency and communion and updated in response to the medical trainee's behavior, enabling systematic variation and dynamic adaptation of interpersonal behavior within medical scenarios. This allows trainees to learn how a patients personality shapes communication, and to practice adaptive, patient-centered communication strategies and appropriate clinical decision-making. For the personalization trainings we developed clinical cases in which personality expression substantially influences behavior in doctor-patient interactions, that represent common encounters in primary care, and that align with national guidelines for patient-centered care. An initial chat-based implementation enables structured interactions, dynamic personality adaptation, and iterative refinement. The system is designed as a complementary tool to existing simulation formats, offering a scalable, low-threshold environment for repeated practice and reflection. A first application in curricular teaching is scheduled for 2026. Future extensions of the framework are discussed, such as large-scale empirical validation, modelling long-term interpersonal trajectories, and the extension of interactions to multimodal formats.
42221128	10.3389/fmed.2026.1834636	2026	2026	Effectiveness of AI-enhanced virtual patients for psychiatric interview training in health professions education: a meta-analysis.	Frontiers in medicine	Kilincel S; Bulut F; Goksel P; Usta MB; Mutluer T; Kilincel O	Artificial intelligence (AI)-enhanced virtual patient simulations are increasingly used in health professions education to improve clinical communication and diagnostic reasoning. However, the effectiveness of these technologies for psychiatric interview training has not been systematically quantified. This study aimed to systematically review and meta-analyze the existing literature evaluating the impact of AI-enhanced virtual patients on psychiatric interview performance, knowledge acquisition, and learner confidence in health professions education. A systematic review and meta-analysis was conducted following the PRISMA 2020 guidelines. Electronic database searches were performed in PubMed/MEDLINE, Scopus, Web of Science, and Google Scholar to identify relevant studies published between January 2000 and March 2026. Studies were included if they evaluated AI-enhanced virtual patient simulations for psychiatric interview training among medical students, psychiatry residents, clinicians, or other health professions trainees. Data extraction included study characteristics, participant populations, intervention types, and educational outcomes. Risk of bias was assessed using the Cochrane Risk of Bias Tool. Quantitative synthesis was performed using random-effects meta-analysis models, and effect sizes were calculated as standardized mean differences (SMD) with 95% confidence intervals (CI) using R statistical software. A total of 560 records were identified through database searches and additional sources. After removal of duplicates and screening procedures, 10 studies met the inclusion criteria and were included in the final analysis. The studies involved approximately 450 participants, including medical students, psychiatry residents, clinicians, nursing students, and psychology trainees. AI-enhanced virtual patient interventions included conversational AI systems, virtual human simulations, large language model-based simulated patients, and AI-virtual reality training environments. The pooled analyses indicated improvements in psychiatric interview performance, knowledge acquisition, and learner confidence following AI-supported virtual patient training. Subgroup analysis demonstrated positive educational outcomes across both student and clinician populations. Risk-of-bias assessment revealed variable methodological quality across studies, with several pilot and non-randomized designs. AI-enhanced virtual patient simulations appear to be effective educational tools for improving psychiatric interview training in health professions education. These technologies provide scalable and standardized simulation environments that support communication skill development, diagnostic reasoning, and learner confidence. Although the findings suggest promising educational benefits, further large-scale randomized controlled trials and standardized outcome assessments are needed to confirm the long-term educational impact of AI-supported virtual patient training in psychiatry.
42192521	10.1186/s12909-026-09518-8	2026	2026 May 26	An exploratory study of the use of artificial intelligence-based virtual patients to enhance dentist-patient communication training.	BMC medical education	Xie Y; Ou Z; Huang Y; Huang H; Ran X; Dai H; Huang B; Shu L	Effective doctor-patient communication is critical in dentistry for diagnostic accuracy and treatment efficacy. Traditional instructional formats afford limited practice opportunities, impeding the transfer of theoretical knowledge to clinical settings. Standardised patients (SPs) provide authentic interaction but are costly and logistically demanding, restricting training scalability. Large language models (LLMs), capable of generating contextually adaptive dialogues, offer innovative opportunities for dental communication training. An AI agent was developed using the DeepSeek large language model. Thirty-eight fourth-year dental students were randomly assigned to an experimental group (theoretical instruction plus AI-based virtual patient consultations) or a control group (theoretical instruction plus peer-to-peer role-play practice). Baseline and post-intervention doctor-patient communication skills were assessed using standardised patients consultations scored with the Set Elicit Give Understand End (SEGUE) scale. Post-intervention questionnaires assessed AI agent usability and participant satisfaction. No statistically significant between-group difference was observed at baseline (p > 0.05). Following the intervention, the experimental group's SP consultation scores were significantly higher than those of the control group (p < 0.001), with particularly pronounced gains in the preparation stage and consultation closure. Questionnaire data indicated high levels of participant satisfaction and acceptance. Integration of theoretical instruction with AI agent-based training demonstrates preliminary efficacy in improving dental students' doctor-patient communication skills and shows promise as a cost-efficient supplement to conventional training. Current limitations in dialogue flexibility and emotional intelligence should be addressed in future iterations.
42175329	10.3233/SHTI260661	2026	2026 May 21	SurgiBot: Large Language Model-Based Patient Simulator for Surgical Informed Consent Training.	Studies in health technology and informatics	Cvijic L; Denecke K	Surgical informed consent discussions are essential for ensuring patients' understanding, shared decision-making, and ethical surgical practice. However, opportunities for surgical residents to practice and receive feedback about their performance in these conversations are limited. We developed SurgiBot, a large language model-based training platform that enables surgical residents to practice informed consent discussions with simulated patients. Design requirements were identified through participatory design with key stakeholders (e.g., surgeons, patients). SurgiBot provides a realistic and low-risk training environment, which is adaptable across surgical specialties.
