pmid	doi	year	pubdate	title	journal	authors	abstract
42241338	10.2196/84747	2026	2026 Jun 04	A Large Language Model-Powered Multiagent Framework Emulating Standardized Patients in Clinical Communication Skills Training: Development and Evaluation Study.	Journal of medical Internet research	Qu Y; Xu X; Long Y; Wang Y; Li J; Lu X	Effective clinical communication is essential for medical practice, with standardized patients (SPs) being a reliable standard training method despite resource limitations. While large language models (LLMs) show strong role-playing abilities, current virtual patients (VPs) based on single LLMs face fidelity and interaction challenges. Recent advances in multiagent frameworks, which have demonstrated considerable potential in handling complex tasks, offer a new perspective for creating VPs in medical education. This study aimed to develop and evaluate a novel multiagent VP framework that simulates SPs through a collaborative agent design, thereby enhancing human-like fidelity and interaction performance in clinical communication training-oriented VP simulation. Our multiagent framework constructed 5 specialized subagents by simulating the functional partitioning of brain regions, collaboratively simulating the entire process, from case reception to interactive consultation scenarios, designed for medical students. To enhance the interaction performance of VPs, we incorporated retrieval-augmented technology, while deep character reasoning was used to improve response richness and realism. We evaluated the proposed framework through a 2-phase experiment in which the metrics of response quality, role-playing performance, interaction efficiency, information accumulation, and perceived educational utility were applied consistently: first, to compare different base models, and second, to benchmark the complete framework against a single-LLM baseline. The multiagent framework outperformed single-LLM baselines across multiple evaluation settings, achieving high information accuracy and role-playing scores under standardized dialogue conditions. Specifically, the GPT-4o-based implementation achieved peak factual consistency of 0.769 (SD 0.04), while all configurations maintained >94% clinical accuracy. The Qwen3-32B-based framework achieved the lowest misleading rate of 1.28% (SD 1.20), compared to 4.72% (SD 1.53%) for single-LLM scoring. In assessments using standard dialogue scripts, the Qwen3-32B-based framework attained the highest role-playing competency score of 39.67 (SD 0.71) and received high expert praise. However, limited discriminative power against specific leading questions on low-quality inquiries indicated that while these findings specifically establish high fidelity under structured conditions, further adaptation is required for authentic student interactions. Interaction efficiency remained practical with acceptable latency (~3 s) based on Qwen3-32B while maintaining a stable information pace during multiturn dialogues. Furthermore, a preliminary exploration of factual consistency and role-playing ability across 5 clinical departments demonstrated potential scalability. The multiagent framework offers a viable simulation of SPs through the coordinated interaction of multiple LLM-based agents. This approach enhances the performance of VP simulation, providing a customizable and scalable solution for medical communication training, without compromising patient confidentiality. The framework holds substantial potential for advancing medical education approaches.
42322138	10.1080/0142159X.2026.2681965	2026	2026 Jun 20	Voluntary use of LLM-powered virtual standardized patients and medical students' interview performance: An observational study.	Medical teacher	Gao X; Feng J; Duan L; Wang L; Xu H; Sun X; Huang X	Large language model (LLM)-powered Virtual Standardized Patients (VSPs) offer scalable practice opportunities for clinical interviewing, but their added value within established human Standardized Patient (SP) curricula remains unclear. This study examined how self-directed VSP engagement relates to interview performance on traditional SP assessments through the lens of self-regulated learning theory. We analyzed VSP usage logs and SP assessment data from fourth-year medical students (n = 92) enrolled in a 7-week diagnostics course with weekly human SP sessions and optional VSP access. Engagement was measured by valid sessions and total question-answer (QA) pairs. The primary outcome was the composite SP interview score (0-100). Associations were evaluated using correlation and regression analyses. Students generated 359 valid dialogues comprising 19,380 QA pairs (hallucination rate 0.34%). Median engagement was 2 sessions (IQR 1-7) and 132 QA pairs (IQR 38-323). Session frequency correlated modestly with SP scores (ρ = 0.25, p=.016); each additional session predicted a 0.15-point increase (R2=0.070). Students with ≥7 sessions outperformed those with fewer (94.1 ± 2.0 vs 92.5 ± 2.4, p=.013). QA volume showed a stronger association (ρ = 0.28, p=.006), explaining 10.6% of variance. The high-QA group (≥132) scored higher than the low-QA group (93.3 ± 2.3 vs 92.3 ± 2.3, p=.030). Voluntary VSP use within a human SP curriculum was associated with small but measurable differences in interview performance. Findings align with self-regulated learning and deliberate practice frameworks-students who independently sought repeated, feedback-rich practice tended to achieve higher scores. These observational data do not establish causality. VSPs may serve as scalable cognitive scaffolds for self-directed skill refinement, though their benefits likely vary with learner motivation and baseline ability.
42374342	10.1186/s12912-026-04942-z	2026	2026 Jun 29	Undergraduate nursing students' perceptions, needs, and expectations regarding large language model-based virtual patients: a qualitative study.	BMC nursing	Zeng J; Zhu X; Liu X; Li S; Shen S; Zhang Q; Cao S	Communication competence is a core component of clinical competence among undergraduate nursing students. However, conventional communication teaching is often constrained by limited contextual authenticity, insufficient opportunities for repeated practice, and inadequate feedback support. Large language model-based virtual patients (LLM-VPs) offer a new approach to nursing communication training, but limited evidence exists on how undergraduate nursing students, based on their prior communication-learning experiences, anticipate the educational value, functional requirements, and boundaries of such systems. This study aimed to explore undergraduate nursing students' anticipated perceptions, functional needs, preliminary acceptance, and views on potential risks and boundaries regarding the use of LLM-VPs for communication training before they had used a dedicated LLM-VP system. The findings were intended to provide early evidence for the integration of this technology into nursing education. This study employed a descriptive qualitative design. A total of 15 undergraduate nursing students were recruited through convenience sampling. Data were collected through semi-structured interviews after written informed consent had been obtained from each participant. Data collection and analysis were conducted concurrently until theoretical saturation was reached. The collected data were coded and analyzed using thematic analysis, with the assistance of NVivo 14 software. Four main themes were identified: emerging educational gaps and competence needs; expected system form and design requirements; mechanisms underlying trust and sustained use; and perceived risks and boundaries of applicability. Overall, nursing students expressed cautiously optimistic expectations toward LLM-VPs and articulated diverse functional expectations for aligning these systems with nursing-specific learning needs. From the anticipatory perspective of undergraduate nursing students, LLM-VPs have practical appeal and potential utility in nursing communication education. However, their educational value remains conditional and requires further validation in real-use studies. Students expected LLM-VPs to function not as replacements for real clinical encounters but as supplementary training tools that support repeated practice, immediate feedback, and preclinical rehearsal. Future implementation should be grounded in nursing-specific adaptation, deep curricular integration, rigorous knowledge verification, ethical governance, and empirical evaluation of real-world educational effects to support standardized, cautious, and sustainable use in nursing education.
42351097	10.1186/s12909-026-09709-3	2026	2026 Jun 25	Development and pilot evaluation of a large language model-based clinical simulation system for medical education in gastroenterology.	BMC medical education	Maimaris S; Tedino G; Memoli GA; Crisciotti C; Albrizio A; Sammartino C; Bartolotta E; Massetti G	Medical education relies on experience to develop clinical reasoning skills, yet patient access is often limited. Large language models (LLMs) offer an accessible alternative for simulating patient encounters. We aimed to develop and evaluate an LLM-based clinical simulation system for gastroenterology that simulates entire clinical encounters in natural language, from history-taking through to treatment and follow-up planning. The study was conducted in three phases. First, a system comprising an LLM-based clinical case generator, an LLM-based patient simulator, and a web chat interface was developed and iteratively refined. Second, two gastroenterology fellows performed 20 clinical case simulations each as initial testers, providing feedback that guided further system adjustments. Third, six independent gastroenterology fellows, blinded to the development process, evaluated the final system by completing the same 20 clinical simulations. All evaluators rated the system using a 5-point Likert scale across four domains: case presentation accuracy, adaptability to user interactions, realism, and educational value. A total of 160 evaluations were collected across 20 cases and 8 raters. At final evaluation, all domains scored highly: educational value (mean 4.57 ± 0.63), accuracy (4.42 ± 0.63), adaptability (4.33 ± 0.75), and realism (4.32 ± 0.81). Scores differed significantly across domains (p < 0.01), with educational value rated highest. Evaluation panellists rated all domains significantly higher than initial testers (all p < 0.01) at an exploratory comparison. The LLM-based clinical simulator demonstrated high accuracy, realism, adaptability, and educational value for gastroenterology case simulation in this pilot evaluation, and may represent an accessible and cost-effective tool for clinical reasoning training.
42221810	10.5334/pme.2379	2026	2026	Teaching Personalized Doctor-Patient Communication with AI: PerTRAIN - a Prototype for Interpersonally Responsive Virtual Patients in Medical Education.	Perspectives on medical education	Junga A; Hätscher O; Dabel J; Mado G; Ajani A; Pielage L; Kockwelp P; Breil SM	Personalized medicine requires physicians to adapt clinical communication and decision-making to patients' individual motives, emotions, and interpersonal behaviors. However, training these skills remains challenging, as established simulation-based formats-particularly actor-based simulations-are resource-intensive and difficult to scale. Consequently, there is a need for scalable and flexible training approaches that allow repeated practice across diverse patient personalities and clinical contexts. The PerTRAIN (Personalization Training in Medicine) project addresses this need by leveraging large language models (LLMs) to simulate virtual patients with dynamically adapting personality expression at scale. Grounded in Contemporary Integrative Interpersonal Theory (CIIT), patient behavior is modelled along the dimensions of agency and communion and updated in response to the medical trainee's behavior, enabling systematic variation and dynamic adaptation of interpersonal behavior within medical scenarios. This allows trainees to learn how a patients personality shapes communication, and to practice adaptive, patient-centered communication strategies and appropriate clinical decision-making. For the personalization trainings we developed clinical cases in which personality expression substantially influences behavior in doctor-patient interactions, that represent common encounters in primary care, and that align with national guidelines for patient-centered care. An initial chat-based implementation enables structured interactions, dynamic personality adaptation, and iterative refinement. The system is designed as a complementary tool to existing simulation formats, offering a scalable, low-threshold environment for repeated practice and reflection. A first application in curricular teaching is scheduled for 2026. Future extensions of the framework are discussed, such as large-scale empirical validation, modelling long-term interpersonal trajectories, and the extension of interactions to multimodal formats.
42192521	10.1186/s12909-026-09518-8	2026	2026 May 26	An exploratory study of the use of artificial intelligence-based virtual patients to enhance dentist-patient communication training.	BMC medical education	Xie Y; Ou Z; Huang Y; Huang H; Ran X; Dai H; Huang B; Shu L	Effective doctor-patient communication is critical in dentistry for diagnostic accuracy and treatment efficacy. Traditional instructional formats afford limited practice opportunities, impeding the transfer of theoretical knowledge to clinical settings. Standardised patients (SPs) provide authentic interaction but are costly and logistically demanding, restricting training scalability. Large language models (LLMs), capable of generating contextually adaptive dialogues, offer innovative opportunities for dental communication training. An AI agent was developed using the DeepSeek large language model. Thirty-eight fourth-year dental students were randomly assigned to an experimental group (theoretical instruction plus AI-based virtual patient consultations) or a control group (theoretical instruction plus peer-to-peer role-play practice). Baseline and post-intervention doctor-patient communication skills were assessed using standardised patients consultations scored with the Set Elicit Give Understand End (SEGUE) scale. Post-intervention questionnaires assessed AI agent usability and participant satisfaction. No statistically significant between-group difference was observed at baseline (p > 0.05). Following the intervention, the experimental group's SP consultation scores were significantly higher than those of the control group (p < 0.001), with particularly pronounced gains in the preparation stage and consultation closure. Questionnaire data indicated high levels of participant satisfaction and acceptance. Integration of theoretical instruction with AI agent-based training demonstrates preliminary efficacy in improving dental students' doctor-patient communication skills and shows promise as a cost-efficient supplement to conventional training. Current limitations in dialogue flexibility and emotional intelligence should be addressed in future iterations.
42174548	10.1186/s12909-026-09511-1	2026	2026 May 22	AI-powered simulated patients with automated feedback for enhancing headache history-taking skills: a convergent mixed-methods study.	BMC medical education	Sindhvananda K; Ruengwattanachot K; Leksuwankun S; Pongpitakmetha T; Hiransuthikul A; Surawattanawong T; Anukoolwittaya P; Panjasriprakarn P	Medical students often struggle with headache disorders, which are common but diagnostically challenging due to limited clinical exposure and feedback during early clinical training. This study evaluated the feasibility and effectiveness of an AI-powered simulated patient (AISP) chatbot in enhancing history-taking and clinical reasoning for three primary headache disorders-migraine, tension-type, and cluster headache-among medical students at a tertiary university hospital in Thailand. We developed a simulated patient platform that provided automated, rubric-based feedback across three headache cases. Third-year medical students who had completed pre-clerkship requirements participated in a mixed-methods experimental study with a pre-post design. The study consisted of a 1-week self-study phase followed by a pre-test Objective Structured Clinical Examination (OSCE), a 1-week washout period, and a 1-week AISP practice phase followed by a post-test OSCE. Quantitative outcomes included changes in OSCE scores, Clinical Reasoning Indicator-History Taking (CRI-HT) scores, usability/satisfaction measured using the Chatbot Usability Questionnaire (CUQ). Focus group discussions (FGDs) explored participants' learning experiences, perceived system limitations, and recommendations for future implementation. Qualitative data were analyzed thematically. Twenty-five medical students participated. OSCE scores increased by 22.5 points (p < 0.001, Cohen's d = 1.93), and CRI-HT scores increased by 8.8 points (p < 0.001, Cohen's d = 1.81). CUQ findings indicated high usability. Students commonly cited the platform's intuitive interface and informative feedback, although some noted the chatbot's responses were overly robotic. FGDs further highlighted three themes: (1) convenient, structured practice support learning; (2) dialogue felt realistic but was limited for practicing communication skills; and (3) students recommended greater case variety and integration into the curriculum. An AISP platform with automated, rubric-based feedback was feasible and associated with improvements in headache history-taking and clinical reasoning. It serves as a valuable complement to traditional teaching by enabling structured, repeated practice with timely feedback.
42175329	10.3233/SHTI260661	2026	2026 May 21	SurgiBot: Large Language Model-Based Patient Simulator for Surgical Informed Consent Training.	Studies in health technology and informatics	Cvijic L; Denecke K	Surgical informed consent discussions are essential for ensuring patients' understanding, shared decision-making, and ethical surgical practice. However, opportunities for surgical residents to practice and receive feedback about their performance in these conversations are limited. We developed SurgiBot, a large language model-based training platform that enables surgical residents to practice informed consent discussions with simulated patients. Design requirements were identified through participatory design with key stakeholders (e.g., surgeons, patients). SurgiBot provides a realistic and low-risk training environment, which is adaptable across surgical specialties.
42155101	10.2196/91021	2026	2026 May 19	Feasibility of Large Language Model-Based Standardized Virtual Patients to Support Clinical Decision-Making Training in Operative Dentistry: Mixed Methods Study.	JMIR formative research	BaHammam F	Clinical decision-making training in operative dentistry commonly relies on real or standardized patients to develop undergraduate students' ability to deliver safe, effective, and patient-centered care. However, training with real or standardized patients can be limited in scalability, cost-effectiveness, and accessibility. Large language models, with their human-like language capabilities, may have the potential to simulate patients in clinical encounters and help overcome some limitations associated with traditional training approaches. This study aimed to evaluate the feasibility of using large language model-based standardized virtual patients to support undergraduate dental students' clinical decision-making training in operative dentistry. This mixed methods cross-sectional feasibility study was conducted during a simulation-based clinical decision-making training session in the Operative Dentistry and Cariology course at the College of Dentistry, King Saud bin Abdulaziz University for Health Sciences, Riyadh, Saudi Arabia. Eligible participants were second-year undergraduate dental students enrolled in the course. A convenience sampling approach was used, with all eligible students (N=50) invited to participate. A total of 41 students completed the study, 23 (56%) of whom were male. The students were divided into 8 groups. Each group interacted with 2 standardized virtual patients powered by ChatGPT-4o (OpenAI) through the Chatbase platform to complete comprehensive history-taking and then reviewed the standardized virtual patients' intraoral photographs and bitewing radiographs. For each standardized virtual patient, students as a group recorded diagnoses, performed a risk assessment, and formulated a treatment plan. Students then completed the Student Satisfaction and Self-Confidence in Learning questionnaire. The quality of the standardized virtual patient responses and overall dialogue realism were evaluated using the Dialogue Authenticity Scale. The dialogues were also thematically analyzed to identify authenticity-undermining response features and explore their context and underlying causes. Students perceived the simulation-based training session positively, with all questionnaire items showing high median scores (4.00-5.00 on a 5-point scale), and both item-level IQRs and 95% CIs spanning no more than 1.0 scale point. In addition, standardized virtual patient responses were largely authentic, with an overall median authenticity rating of 4.50 (IQR 4.00-5.00; 95% CI 4.00-5.00) on a 6-point scale across all interactions. However, several authenticity-undermining response features were identified, including responses that were inconsistent with typical human behavior, contained information beyond a patient's likely knowledge, or were factually incorrect. This proof-of-concept study supports the feasibility of implementing large language model-based standardized virtual patients in undergraduate simulation-based clinical decision-making training in operative dentistry. In a dental context where this application has been only minimally evaluated, this study provides early evidence of positive student perceptions, acceptability, and largely authentic dialogue, while also identifying important performance limitations. Further research is warranted to optimize performance and to evaluate the educational effectiveness of this approach in improving undergraduate students' clinical skills and knowledge.
42221128	10.3389/fmed.2026.1834636	2026	2026	Effectiveness of AI-enhanced virtual patients for psychiatric interview training in health professions education: a meta-analysis.	Frontiers in medicine	Kilincel S; Bulut F; Goksel P; Usta MB; Mutluer T; Kilincel O	Artificial intelligence (AI)-enhanced virtual patient simulations are increasingly used in health professions education to improve clinical communication and diagnostic reasoning. However, the effectiveness of these technologies for psychiatric interview training has not been systematically quantified. This study aimed to systematically review and meta-analyze the existing literature evaluating the impact of AI-enhanced virtual patients on psychiatric interview performance, knowledge acquisition, and learner confidence in health professions education. A systematic review and meta-analysis was conducted following the PRISMA 2020 guidelines. Electronic database searches were performed in PubMed/MEDLINE, Scopus, Web of Science, and Google Scholar to identify relevant studies published between January 2000 and March 2026. Studies were included if they evaluated AI-enhanced virtual patient simulations for psychiatric interview training among medical students, psychiatry residents, clinicians, or other health professions trainees. Data extraction included study characteristics, participant populations, intervention types, and educational outcomes. Risk of bias was assessed using the Cochrane Risk of Bias Tool. Quantitative synthesis was performed using random-effects meta-analysis models, and effect sizes were calculated as standardized mean differences (SMD) with 95% confidence intervals (CI) using R statistical software. A total of 560 records were identified through database searches and additional sources. After removal of duplicates and screening procedures, 10 studies met the inclusion criteria and were included in the final analysis. The studies involved approximately 450 participants, including medical students, psychiatry residents, clinicians, nursing students, and psychology trainees. AI-enhanced virtual patient interventions included conversational AI systems, virtual human simulations, large language model-based simulated patients, and AI-virtual reality training environments. The pooled analyses indicated improvements in psychiatric interview performance, knowledge acquisition, and learner confidence following AI-supported virtual patient training. Subgroup analysis demonstrated positive educational outcomes across both student and clinician populations. Risk-of-bias assessment revealed variable methodological quality across studies, with several pilot and non-randomized designs. AI-enhanced virtual patient simulations appear to be effective educational tools for improving psychiatric interview training in health professions education. These technologies provide scalable and standardized simulation environments that support communication skill development, diagnostic reasoning, and learner confidence. Although the findings suggest promising educational benefits, further large-scale randomized controlled trials and standardized outcome assessments are needed to confirm the long-term educational impact of AI-supported virtual patient training in psychiatry.
