relevance	route	pmid	doi	year	pubdate	title	journal	authors	queries	abstract
????LLM/???AI + ??/???/?????????	?????/OSCE	42327918	10.1016/j.rcsop.2026.100812	2026	2026 Sep	Evaluation of large language model responses to patient questions on oral anticoagulant therapy: a comparative expert assessment.	Exploratory research in clinical and social pharmacy	Khan MA; Chaudhary V; Maazuddin M; Sultan I; Mehnaaz S; Pal B	Q1_precise_llm_virtual_standardized_patient;Q4_virtual_patient_generative_ai	Large language model (LLM)-based chatbots are increasingly used by patients for health information; however, their reliability in high-risk cardiovascular therapies such as oral anticoagulation remains uncertain. This study evaluated the perceived accuracy, clarity, and completeness of LLM-generated responses to common patient queries compared with standard-derived expert responses (SDERs). A cross-sectional comparative study evaluated responses generated by ChatGPT-4.5, Gemini Pro 2.5, and DeepSeek-V3 to 11 frequently asked questions related to five oral anticoagulants: warfarin, dabigatran, apixaban, rivaroxaban, and edoxaban. Responses were generated using a standardized patient-focused prompt. SDERs were developed by cardiologists and clinical pharmacists using authoritative references. All responses were anonymized and independently assessed by two blinded clinical pharmacists using a five-point Likert scale evaluating accuracy, clarity, and completeness. Interrater reliability was assessed using linearly weighted Cohen's κ, and group comparisons were analyzed using the Friedman test with post hoc adjustments. Interrater reliability ranged from fair to almost perfect (κ = 0.31-0.84). ChatGPT-4.5 achieved the highest mean ratings across all evaluation domains, particularly for completeness. Significant differences were observed among response sources for accuracy, clarity, and completeness (p < 0.05). Warfarin-related queries demonstrated significant differences in accuracy and completeness across response sources, whereas responses for direct oral anticoagulants showed no significant differences. ChatGPT-4.5 received the highest mean expert ratings for patient education regarding oral anticoagulants. Performance differences were most evident for warfarin-related queries, whereas responses for direct oral anticoagulants were broadly comparable across sources.
?????????/????????????????	?????/?????	42224813	10.1016/j.cptl.2026.102675	2026	2026 Sep	Using an educator-guided generative artificial intelligence (GenAI) tool for developing communication skills in undergraduate pharmacy students.	Currents in pharmacy teaching & learning	Lim A; Stokes E; Yeap LL; Mazeh AC; Kreutzer E; Moore J	Q1_precise_llm_virtual_standardized_patient;Q2_llm_education_patient_simulation;Q4_virtual_patient_generative_ai	Effective communication of health messages is essential. Pharmacy educators face the challenge of adapting curricula or integrating Generative AI (GenAI) tools. This study presents an educator-guided GenAI prototype, Authentic Teaching & Learning Applications Simulation (ATLAS), which offers real-time simulations with patient avatars and provides both verbal and non-verbal feedback to students. A quasi-experimental study was conducted with pharmacy undergraduates. One month before their summative Objective Structured Clinical Examination (OSCE), students accessed ATLAS, which simulates patient interactions and delivers immediate feedback. Impact was evaluated through usage data, OSCE scores and student perceptions. The primary outcome was the difference in change in OSCE communication scores from previous OSCE between ATLAS users (201) and non-users (313; a control group). For students who had two data points for the primary outcome analysis, ATLAS users (188) showed significant improvement in their communication scores (median increase = 1.55 points, p = 0.0045), while controls (273) showed no change between years (p = 0.7). When comparing conversation attempts to OSCE scores in the ATLAS group (n = 201), improvements were seen with three or more attempts: three (+6.7), four (+6.5), five (+8.3), and six (+7.7). Domestic and female students benefited most. Students reported that GenAI avatars were realistic and enhanced learning, offering authentic, safe, and accessible practice with personalised feedback. Despite some technical limitations and AI hesitancy, ATLAS was a valuable supplement. The study supports that different communication subskills may be differentially associated with technology supported practice, and students who perhaps are not as confident to participate in the classroom could benefit from GenAI practice prior to classroom practice. However, many students still preferred in-person practice for developing empathy and nuanced communication. The present study provides associational evidence that educator guided practice with ATLAS correlates with higher OSCE communication scores, particularly for repeated users, amid notable student engagement and perceived value. Future research should prioritise multi-site randomised trials to minimise self-selection bias with explicit plans to assess equity impacts (e.g., for international students).
????LLM/???AI + ??/???/?????????	????/????	41814512	10.1111/ijd.70382	2026	2026 Aug	Simulated Patient Queries Reveal Limitations of ChatGPT in Dermatologic Image Classification.	International journal of dermatology	Nihal A; Turner L; McRae C; Downing T; Huang C; Pavlidakey P	Q1_precise_llm_virtual_standardized_patient;Q4_virtual_patient_generative_ai	
????LLM/???AI + ??/???/?????????	????/????	42414715	10.1007/s10278-026-02109-5	2026	2026 Jul 07	Radiologist Detection of Deficiencies in LLM-Generated Patient Communications About Radiology Reports: A Multi-Reader Study.	Journal of imaging informatics in medicine	Shin C; Park JH; Kim S; Lee YH; Lee HS	Q1_precise_llm_virtual_standardized_patient;Q4_virtual_patient_generative_ai	Patients increasingly use large language models (LLMs) to interpret radiology reports, yet the reliability of radiologist oversight in detecting errors in patient-facing LLM responses remains unquantified. This study evaluated the diagnostic accuracy of radiologists in detecting deficiencies in LLM-generated answers to simulated patient questions and quantified the incremental benefit of multi-reader oversight. In this retrospective multi-reader study, three board-certified radiologists independently evaluated 1200 LLM-generated answers (from three different models; 400 per model) to questions derived from 187 MIMIC-IV radiology reports. Answers were scored on a 3-point scale: 1 (clinically significant error), 2 (incomplete/ambiguous), and 3 (accurate). An adjudicated consensus served as the reference standard. Individual reader sensitivity, specificity, and multi-reader miss rates were compared. Of 1200 answers, 113 (9.4%) were deficient by consensus, including 18 clinically significant errors (1.5%) and 95 incomplete/ambiguous responses (7.9%). For clinically significant errors, readers missed 5.6-11.1% of cases. Across all deficiencies, individual reader sensitivity ranged from 81.4% (95% CI, 73.3-87.5) to 96.5% (95% CI, 91.3-98.6), with significant differences (McNemar p < 0.001). A single reader missed an average of 12.4% of deficiencies, whereas dual-reader review reduced the average miss rate to 0.6%; triple-reader review detected all deficiencies. Individual radiologist review of LLM-generated patient communications showed variable sensitivity, with some clinically significant errors remaining undetected. Dual-reader oversight significantly improves the safety and reliability of LLM-based communication tools.
????LLM/???AI + ??/???/?????????	????	42407288	10.1016/j.ijmedinf.2026.106582	2026	2026 Jul 02	Integrating diversity, equity, and inclusion in generative AI applications for healthcare education: a scoping review.	International journal of medical informatics	Shin HD; Ronquillo CE; Lee J; Lokmic-Tomkins Z; Reid L; You SB; Davies S; Block LJ	Q1_precise_llm_virtual_standardized_patient;Q4_virtual_patient_generative_ai	Capabilities of generative AI (GenAI) tools continue to advance, positioning them as promising resources for supporting healthcare education. However, their implementation also presents challenges and unknown implications related to Diversity, Equity and Inclusion (DEI). Despite the growing body of literature on GenAI, there remains a significant gap in research examining how DEI considerations are addressed in GenAI applications in healthcare education. This review synthesizes existing literature on the integration of DEI in GenAI applications for healthcare education. Specifically, it examines how DEI is recognized, the strategies used for its integration, and the reported outcomes of these efforts. It also identifies limitations and offers recommendations for integrating DEI in GenAI within healthcare education. JBI scoping review methodology was used, and three databases (PubMed, Embase, and CINAHL) were searched. The reporting was guided by the Preferred Reporting Items for Systematic Reviews and Meta-Analyses extension for the scoping review (PRISMA-ScR). Descriptive statistics and content analysis were conducted, with findings reported using tables and narrative summaries. This review included 16 studies. Content generation for educational materials was the dominant use case (n = 12), while fewer studies explored more complex applications such as interactive virtual patient simulations (n = 3) and simulation-based, scenario-driven training (n = 2), which may reflect the early stage of the field. Notable gaps identified across the 16 studies included a lack of consistent conceptual clarity regarding how to operationalize and integrate DEI, limited engagement with diverse partners in the development of GenAI, and a lack of evaluations examining how DEI is incorporated or addressed. Most studies instead evaluated aspects of GenAI performance or user perspectives. By identifying these gaps, this review offers a foundation for developing frameworks that support systematic DEI integration across the GenAI lifecycle, from innovation development and implementation through to evaluation, and informs future research directions by calling for multi-perspective collaboration and institutional accountability in how GenAI is monitored and evaluated. This scoping review represents an important first step upon which future efforts can build to advance the integration and evaluation of DEI in GenAI applications for healthcare education.
?????????/????????????????	??????AI	42391624	10.2196/92016	2026	2026 Jul 02	Agreement Between Reasoning-Oriented Generative AI Models and Clinical Educators in Evaluating Japanese Objective Structured Clinical Examination Transcripts: Preliminary Comparative Study.	JMIR formative research	Hirosawa T; Yokose M; Sakamoto T; Hayashi A; Harada Y; Tokumasu K; Mizuta K; Shimizu T	Q1_precise_llm_virtual_standardized_patient;Q4_virtual_patient_generative_ai	Medical interview training faces limitations in both implementation and evaluation. While generative artificial intelligence (GenAI) offers a potential solution, it remains unclear whether reasoning-oriented models improve evaluation, particularly for the Japanese language. We assessed scoring patterns to evaluate the agreement between reasoning-oriented GenAI model scores and clinical educator consensus ratings in Japanese medical interview training. This study was conducted at a medical university in Japan using original Japanese-language text data derived from medical interview training. Postgraduate year 1 and 2 residents were involved. Two blinded human clinical educators independently evaluated the transcripts and reached consensus through discussion. These consensus ratings were used as a practical reference standard, while preconsensus agreement was also assessed to characterize interhuman variability. Two GenAI models, GPT-5.2 Thinking (OpenAI) and Gemini 3.0 Pro (Google LLC), independently evaluated the same transcripts directly. Each GenAI model generated a single zero-shot evaluation per transcript using default settings. All evaluations used a standardized 6-domain Objective Structured Clinical Examination rubric (patient care, history taking, physical examination, accuracy and organization of clinical information, clinical reasoning, and management) scored on a 1-6 Likert scale, where 1 indicates inferior, and 6 indicates excellent. We compared mean evaluation scores using the Wilcoxon signed-rank test and assessed interrater reliability using intraclass correlation coefficients between the GenAI models and the clinical educators. Clinical educators and both GenAI models rated the entire dataset of 40 transcripts by 20 included residents. Clinical educator consensus ratings yielded the highest overall mean scores (5.18, 95% CI 5.06 to 5.30). Comparatively, both GenAI models demonstrated significantly lower scores: GPT-5.2 Thinking assigned the lowest overall score (3.68, 95% CI 3.62 to 3.72; P<.001), followed by Gemini 3.0 Pro (4.09, 95% CI 3.97 to 4.21; P<.001). This discrepancy was most pronounced in the management domain, where GPT-5.2 Thinking assigned 2.93 (95% CI 2.79 to 3.06) compared with the clinical educator consensus mean score of 5.20 (95% CI 4.91 to 5.49). Agreement between the GenAI models and the clinical educator consensus ratings was poor across all domains, with overall intraclass correlation coefficients of 0.04 (95% CI 0.00 to 0.09) for GPT-5.2 Thinking and 0.22 (95% CI 0.10 to 0.35) for Gemini 3.0 Pro. In this preliminary, single-center, transcript-based Japanese-language study, single-run zero-shot evaluations by GPT-5.2 Thinking and Gemini 3.0 Pro showed lower scores and poor agreement with the clinical educator consensus ratings. These findings should be interpreted cautiously because multiple outputs, prompt-sensitivity analyses, local validation, and model-parameter comparisons were not performed. Under the specific conditions tested, these models should not be used as standalone evaluators for Japanese Objective Structured Clinical Examination medical interview transcripts. Whether these models can provide useful formative feedback remains a hypothesis.
????LLM/???AI + ??/???/?????????	????/????	42322107	10.1002/jac5.70238	2026	2026 Jul	Utilization of Artificial Intelligence as Simulated Patients to Enhance Student Interviewing Skills in the Pharmacy Curriculum Across Multiple Programs.	Journal of the American College of Clinical Pharmacy : JACCP	Walter JM; Volino L; Knockel L; Kleppinger EL; Parrish J; Stafford R	Q1_precise_llm_virtual_standardized_patient;Q4_virtual_patient_generative_ai	Traditional methods to practice patient interviewing skills for student pharmacists include the use of actors and role-playing. While effective, they can be difficult to manage with large class sizes, cost, and time to train. Artificial intelligence (AI) and large language models (LLMs) are readily accessible to offer students a scalable solution to practice collecting information from a controlled, dynamic simulated patient (SP). Five programs collaborated to create multiple educational activities that utilized AI as an SP for student pharmacists to practice their patient interviewing skills. Each activity included patient cases focused on self-care related topics. Student participants ranged from professional year one to three (P1-P3). A voluntary, anonymous survey was developed to assess baseline demographics and student perceptions of the activities. Out of 602 students across the five programs, 304 (50.5%) voluntarily completed the survey. Most students were born in Generation Z (1997-2012), identified as white/Caucasian, and had previously used AI. The majority of the students used the written feature to complete the activity. Overall, students reported that the AI activity was easy to use and considered it useful to practice patient interviewing skills. Students from two programs favored the use of the AI activity, while the other three programs favored traditional role-playing with partners. Students stated they missed the real-life human component of practicing with a partner. AI can be utilized as an SP to assist students in practicing their patient interviewing skills with a variety of topics. Students found the LLM easy to use, helped with their interviewing skills, and wanted to see it utilized more in the pharmacy curriculum. Future activities should find ways to incorporate more real-life components.
????LLM/???AI + ??/???/?????????	????/????	42089587	10.1093/jamia/ocag050	2026	2026 Jul 01	TRUST: an large language model-based dialogue system for trauma understanding and structured assessments.	Journal of the American Medical Informatics Association : JAMIA	Tu S; Powers A; Doogan S; Choi JD	Q1_precise_llm_virtual_standardized_patient;Q4_virtual_patient_generative_ai	While large language models (LLMs) have been widely used to assist clinicians and support patients, no existing work has explored dialogue systems for standard diagnostic interviews and assessments. This study aims to bridge the gap in mental healthcare accessibility by developing an LLM-powered dialogue system that replicates clinician behavior. We introduce TRUST, a framework of cooperative LLM modules capable of conducting formal diagnostic interviews and assessments for post-traumatic stress disorder (PTSD) following the Clinician-Administered PTSD Scale for DSM-5 (CAPS-5). To guide the generation of appropriate clinical responses, we propose a Dialogue Acts schema specifically designed for clinical interviews. Additionally, we develop a patient simulation approach based on real-life interview transcripts to replace time-consuming and costly manual testing by clinicians. A comprehensive set of evaluation metrics is designed to assess the dialogue system from both the agent and patient simulation perspectives. Expert evaluations by conversation and clinical specialists show that TRUST performs comparably to real-life clinical interviews. Our system performs with clinical quality approaching that of human clinicians, with room for future enhancements in communication styles and response appropriateness. Our TRUST framework shows its potential to facilitate mental healthcare availability.
????LLM/???AI + ??/???/?????????	?????/OSCE	41396028	10.1308/rcsann.2025.0089	2026	2026 Jul	Evaluating the ability of AI chatbots to provide informed consent information for common oncological surgeries.	Annals of the Royal College of Surgeons of England	Sidhu RS; Selvamogan A; Abdellatif M; Franscois R; Boddy A	Q1_precise_llm_virtual_standardized_patient;Q4_virtual_patient_generative_ai	Informed consent is fundamental to oncological surgery, but communication is often hindered by medical terminology, inconsistent explanations and variation in patient understanding. Large language models may improve accessibility by generating simplified consent information. This study assessed whether four leading artificial intelligence (AI) chatbots, ChatGPT (GPT-4), Gemini (2.5 Flash), DeepSeek (R1) and Grok (3) could generate information understandable to patients and comprehensive enough to support informed consent for six common oncological operations. Standardised patient-style prompts were applied, and chatbot outputs were evaluated for readability using the Flesch Reading Ease Score (FRES), Flesch-Kincaid Grade Level (FKGL) and Gunning Fog Index (GF). Quality and completeness, including coverage of procedure details, risks, benefits, alternatives and consequences of no treatment, were assessed by three consultant surgeons using a modified DISCERN instrument. Gemini produced the highest quality information (mean DISCERN 72.3 ± 3.0), followed by Grok (63.0 ± 1.8), whereas ChatGPT (48.0 ± 4.7) and DeepSeek (47.1 ± 1.8) performed less well. DeepSeek generated the most readable content (FKGL 9.7; GF 10.8), although no model achieved the recommended sixth-grade level. Common limitations included the lack of systematic referencing (except Gemini), occasional factual inaccuracies, reliance on predominantly US-based resources, and failure to assess patient understanding. Overall, AI chatbots can provide structured, accessible information to support surgical consent, but current limitations restrict their use as standalone tools. Gemini demonstrated the strongest balance of readability and quality, yet all models require refinement to improve reliability, equity, and patient safety. At present, AI should complement, rather than replace, clinician-led consent discussions.
????LLM/???AI + ??/???/?????????	????	42374342	10.1186/s12912-026-04942-z	2026	2026 Jun 29	Undergraduate nursing students' perceptions, needs, and expectations regarding large language model-based virtual patients: a qualitative study.	BMC nursing	Zeng J; Zhu X; Liu X; Li S; Shen S; Zhang Q; Cao S	Q1_precise_llm_virtual_standardized_patient;Q4_virtual_patient_generative_ai	Communication competence is a core component of clinical competence among undergraduate nursing students. However, conventional communication teaching is often constrained by limited contextual authenticity, insufficient opportunities for repeated practice, and inadequate feedback support. Large language model-based virtual patients (LLM-VPs) offer a new approach to nursing communication training, but limited evidence exists on how undergraduate nursing students, based on their prior communication-learning experiences, anticipate the educational value, functional requirements, and boundaries of such systems. This study aimed to explore undergraduate nursing students' anticipated perceptions, functional needs, preliminary acceptance, and views on potential risks and boundaries regarding the use of LLM-VPs for communication training before they had used a dedicated LLM-VP system. The findings were intended to provide early evidence for the integration of this technology into nursing education. This study employed a descriptive qualitative design. A total of 15 undergraduate nursing students were recruited through convenience sampling. Data were collected through semi-structured interviews after written informed consent had been obtained from each participant. Data collection and analysis were conducted concurrently until theoretical saturation was reached. The collected data were coded and analyzed using thematic analysis, with the assistance of NVivo 14 software. Four main themes were identified: emerging educational gaps and competence needs; expected system form and design requirements; mechanisms underlying trust and sustained use; and perceived risks and boundaries of applicability. Overall, nursing students expressed cautiously optimistic expectations toward LLM-VPs and articulated diverse functional expectations for aligning these systems with nursing-specific learning needs. From the anticipatory perspective of undergraduate nursing students, LLM-VPs have practical appeal and potential utility in nursing communication education. However, their educational value remains conditional and requires further validation in real-use studies. Students expected LLM-VPs to function not as replacements for real clinical encounters but as supplementary training tools that support repeated practice, immediate feedback, and preclinical rehearsal. Future implementation should be grounded in nursing-specific adaptation, deep curricular integration, rigorous knowledge verification, ethical governance, and empirical evaluation of real-world educational effects to support standardized, cautious, and sustainable use in nursing education.
