"captured_at","slug","source_label","url","raw_file","status","http_status","notes"
"2026-07-14T14:06:36+08:00","current-medical-science","official","https://link.springer.com/journal/11596,https://link.springer.com/journal/11596/how-to-publish-with-us","","failed","","无法连接到远程服务器"
"2026-07-14T14:06:44+08:00","journal-of-patient-safety","official","https://www.wolterskluwer.com/en/solutions/ovid/journal-of-patient-safety-1879","","failed","","无法连接到远程服务器"
"2026-07-14T14:06:54+08:00","nursing-open","official","https://onlinelibrary.wiley.com/journal/20541058,https://onlinelibrary.wiley.com/page/journal/20541058/homepage/author-guidelines,https://onlinelibrary.wiley.com/page/journal/20541058/homepage/open-access","","failed","","无法连接到远程服务器"
"2026-07-14T14:07:01+08:00","applied-nursing-research","official","https://www.sciencedirect.com/journal/applied-nursing-research,https://www.sciencedirect.com/journal/applied-nursing-research/publish/guide-for-authors","","failed","","无法连接到远程服务器"
"2026-07-14T14:08:00+08:00","current-medical-science","official","https://link.springer.com/journal/11596","","failed","","无法连接到远程服务器"
"2026-07-14T14:08:21+08:00","current-medical-science","official","https://link.springer.com/journal/11596","journals/raw_pages/current-medical-science/20260714-140821_01_official_link-springer-com-journal-11596.html","ok","200",""
"2026-07-14T14:08:21+08:00","current-medical-science","official","https://link.springer.com/journal/11596/how-to-publish-with-us","journals/raw_pages/current-medical-science/20260714-140826_02_official_link-springer-com-journal-11596-how-to-publish-with-us.html","ok","200",""
"2026-07-14T14:08:46+08:00","journal-of-patient-safety","official","https://www.wolterskluwer.com/en/solutions/ovid/journal-of-patient-safety-1879","","failed","","远程服务器返回错误: (403) 已禁止。"
"2026-07-14T14:08:59+08:00","nursing-open","official","https://onlinelibrary.wiley.com/journal/20541058","","failed","","远程服务器返回错误: (403) 已禁止。"
"2026-07-14T14:08:59+08:00","nursing-open","official","https://onlinelibrary.wiley.com/page/journal/20541058/homepage/author-guidelines","","failed","","远程服务器返回错误: (403) 已禁止。"
"2026-07-14T14:08:59+08:00","nursing-open","official","https://onlinelibrary.wiley.com/page/journal/20541058/homepage/open-access","","failed","","远程服务器返回错误: (403) 已禁止。"
"2026-07-14T14:09:12+08:00","applied-nursing-research","official","https://www.sciencedirect.com/journal/applied-nursing-research","","failed","","远程服务器返回错误: (403) 已禁止。"
"2026-07-14T14:09:12+08:00","applied-nursing-research","official","https://www.sciencedirect.com/journal/applied-nursing-research/publish/guide-for-authors","","failed","","远程服务器返回错误: (403) 已禁止。"
"2026-07-14T14:10:38+08:00","journal-of-patient-safety","official","https://www.wolterskluwer.com/en/solutions/ovid/journal-of-patient-safety-1879","journals/raw_pages/journal-of-patient-safety/20260714-141038_01_official_www-wolterskluwer-com-en-solutions-ovid-journal-of-patient-safety-1879.html","blocked_http","403","Captured with curl fallback after Invoke-WebRequest failed: 远程服务器返回错误: (403) 已禁止。"
"2026-07-14T14:10:57+08:00","nursing-open","official","https://onlinelibrary.wiley.com/journal/20541058","journals/raw_pages/nursing-open/20260714-141057_01_official_onlinelibrary-wiley-com-journal-20541058.html","blocked_http","403","Captured with curl fallback after Invoke-WebRequest failed: 远程服务器返回错误: (403) 已禁止。"
"2026-07-14T14:10:57+08:00","nursing-open","official","https://onlinelibrary.wiley.com/page/journal/20541058/homepage/author-guidelines","journals/raw_pages/nursing-open/20260714-141059_02_official_onlinelibrary-wiley-com-page-journal-20541058-homepage-author-guidelines.html","blocked_http","403","Captured with curl fallback after Invoke-WebRequest failed: 远程服务器返回错误: (403) 已禁止。"
"2026-07-14T14:10:57+08:00","nursing-open","official","https://onlinelibrary.wiley.com/page/journal/20541058/homepage/open-access","journals/raw_pages/nursing-open/20260714-141101_03_official_onlinelibrary-wiley-com-page-journal-20541058-homepage-open-access.html","blocked_http","403","Captured with curl fallback after Invoke-WebRequest failed: 远程服务器返回错误: (403) 已禁止。"
"2026-07-14T14:11:15+08:00","applied-nursing-research","official","https://www.sciencedirect.com/journal/applied-nursing-research","journals/raw_pages/applied-nursing-research/20260714-141115_01_official_www-sciencedirect-com-journal-applied-nursing-research.html","blocked_http","403","Captured with curl fallback after Invoke-WebRequest failed: 远程服务器返回错误: (403) 已禁止。"
"2026-07-14T14:11:15+08:00","applied-nursing-research","official","https://www.sciencedirect.com/journal/applied-nursing-research/publish/guide-for-authors","journals/raw_pages/applied-nursing-research/20260714-141120_02_official_www-sciencedirect-com-journal-applied-nursing-research-publish-guide-for-authors.html","blocked_http","403","Captured with curl fallback after Invoke-WebRequest failed: 远程服务器返回错误: (403) 已禁止。"
"2026-07-14T14:12:37+08:00","journal-of-patient-safety","official","https://www.wolterskluwer.com/en/solutions/ovid/journal-of-patient-safety-1879","journals/raw_pages/journal-of-patient-safety/20260714-141237_01_official_www-wolterskluwer-com-en-solutions-ovid-journal-of-patient-safety-1879.html","blocked_http","403","Raw HTTP response saved, but server returned non-success status after Invoke-WebRequest failed: 远程服务器返回错误: (403) 已禁止。"
"2026-07-14T14:12:51+08:00","nursing-open","official","https://onlinelibrary.wiley.com/journal/20541058","journals/raw_pages/nursing-open/20260714-141251_01_official_onlinelibrary-wiley-com-journal-20541058.html","blocked_http","403","Raw HTTP response saved, but server returned non-success status after Invoke-WebRequest failed: 远程服务器返回错误: (403) 已禁止。"
"2026-07-14T14:12:51+08:00","nursing-open","official","https://onlinelibrary.wiley.com/page/journal/20541058/homepage/author-guidelines","journals/raw_pages/nursing-open/20260714-141252_02_official_onlinelibrary-wiley-com-page-journal-20541058-homepage-author-guidelines.html","blocked_http","403","Raw HTTP response saved, but server returned non-success status after Invoke-WebRequest failed: 远程服务器返回错误: (403) 已禁止。"
"2026-07-14T14:12:51+08:00","nursing-open","official","https://onlinelibrary.wiley.com/page/journal/20541058/homepage/open-access","journals/raw_pages/nursing-open/20260714-141254_03_official_onlinelibrary-wiley-com-page-journal-20541058-homepage-open-access.html","blocked_http","403","Raw HTTP response saved, but server returned non-success status after Invoke-WebRequest failed: 远程服务器返回错误: (403) 已禁止。"
