"analysis_group","pt_standard_en","pt","pt_cn","soc_en","soc_cn","cases","a","b","c","d","a_plus_b","a_plus_c","a_plus_b_plus_c_plus_d","ROR","ROR_025","ROR_975","ror_95ci_range","PRR","chi_squared","IC","IC025","expected_E","EBGM","EBGM05","is_ror_signal","is_prr_signal","is_bcpnn_signal","is_mgps_signal","is_core_ror_prr_signal","is_strict_four_algorithm_signal"
"Iodixanol","Pruritus","Pruritus","瘙痒","Skin and subcutaneous tissue disorders","皮肤及皮下组织类疾病","350","350","1919","349512","19554698","2269","349862","19906479","10.2","9.11","11.44","10.20 (9.11, 11.44)","8.78","2455.15","3.13","3.02","39.8783","8.68","5.12","1","1","1","1","1","1"
"Iodixanol","Dyspnoea","Dyspnoea","呼吸困难","Respiratory, thoracic and mediastinal disorders","呼吸系统、胸及纵隔疾病","222","222","2047","536532","19367678","2269","536754","19906479","3.91","3.41","4.5","3.91 (3.41, 4.50)","3.63","434.49","1.86","1.72","61.1808","3.61","2.12","1","1","1","1","1","1"
"Iodixanol","Urticaria","Urticaria","荨麻疹","Skin and subcutaneous tissue disorders","皮肤及皮下组织类疾病","213","213","2056","155821","19748389","2269","156034","19906479","13.13","11.4","15.12","13.13 (11.40, 15.12)","11.99","2159.9","3.58","3.44","17.7852","11.68","6.86","1","1","1","1","1","1"
"Iodixanol","Rash","Rash","皮疹","Skin and subcutaneous tissue disorders","皮肤及皮下组织类疾病","210","210","2059","405777","19498433","2269","405987","19906479","4.9","4.25","5.65","4.90 (4.25, 5.65)","4.54","591.39","2.18","2.04","46.2756","4.5","2.64","1","1","1","1","1","1"
"Iodixanol","Erythema","Erythema","红斑","Skin and subcutaneous tissue disorders","皮肤及皮下组织类疾病","204","204","2065","195128","19709082","2269","195332","19906479","9.98","8.64","11.52","9.98 (8.64, 11.52)","9.17","1498.3","3.2","3.05","22.2645","8.98","5.27","1","1","1","1","1","1"
"Iodixanol","Nausea","Nausea","恶心","Gastrointestinal disorders","胃肠系统疾病","134","134","2135","746961","19157249","2269","747095","19906479","1.61","1.35","1.92","1.61 (1.35, 1.92)","1.57","29.11","0.65","0.48","85.1561","1.57","0.92","1","0","1","0","0","0"
"Iodixanol","Vomiting","Vomiting","呕吐","Gastrointestinal disorders","胃肠系统疾病","123","123","2146","442946","19461264","2269","443069","19906479","2.52","2.1","3.02","2.52 (2.10, 3.02)","2.44","106.45","1.28","1.1","50.5023","2.42","1.41","1","1","1","0","1","0"
"Iodixanol","Hypotension","Hypotension","低血压","Vascular disorders","血管与淋巴管类疾病","119","119","2150","190283","19713927","2269","190402","19906479","5.73","4.77","6.9","5.73 (4.77, 6.90)","5.49","440.47","2.46","2.27","21.7026","5.38","3.13","1","1","1","1","1","1"
"Iodixanol","Acute kidney injury","Acute kidney injury","急性肾损伤","Renal and urinary disorders","肾脏及泌尿系统疾病","116","116","2153","185645","19718565","2269","185761","19906479","5.72","4.75","6.9","5.72 (4.75, 6.90)","5.48","428.73","2.45","2.26","21.1736","5.38","3.13","1","1","1","1","1","1"
"Iodixanol","Anaphylactic reaction","Anaphylactic reaction","速发严重过敏反应","Immune system disorders","免疫系统疾病","90","90","2179","51321","19852889","2269","51411","19906479","15.98","12.94","19.73","15.98 (12.94, 19.73)","15.38","1211.38","3.94","3.73","5.86","14.23","8.22","1","1","1","1","1","1"
