"analysis_group","soc_en","soc_cn","pt_count","summed_pt_case_count","ror_positive_pt_count","prr_positive_pt_count","bcpnn_positive_pt_count","mgps_positive_pt_count","core_ror_prr_positive_pt_count","strict_four_algorithm_positive_pt_count","max_ROR","max_PRR","max_IC","max_EBGM"
"Iodixanol","Skin and subcutaneous tissue disorders","皮肤及皮下组织类疾病","47","1604","41","41","41","29","41","29","124.89","124.72","6.94","32.33"
"Iodixanol","Respiratory, thoracic and mediastinal disorders","呼吸系统、胸及纵隔疾病","39","671","25","25","26","14","25","14","103.87","103.55","6.68","16.67"
"Iodixanol","General disorders and administration site conditions","全身性疾病及给药部位各种反应","38","699","16","14","21","11","14","11","35.78","35.53","5.15","18.48"
"Iodixanol","Investigations","各类检查","21","241","15","14","16","9","14","9","747.89","746.57","9.43","15.7"
"Iodixanol","Nervous system disorders","各类神经系统疾病","36","485","18","16","20","8","16","8","251.08","250.64","7.93","8.71"
"Iodixanol","Immune system disorders","免疫系统疾病","10","442","9","9","9","7","9","7","535.01","514.3","8.92","129.93"
"Iodixanol","Vascular disorders","血管与淋巴管类疾病","12","318","9","9","9","7","9","7","32.97","32.87","5.03","14.15"
"Iodixanol","Renal and urinary disorders","肾脏及泌尿系统疾病","11","253","7","7","8","6","7","6","26.57","26.22","4.71","18.68"
"Iodixanol","Gastrointestinal disorders","胃肠系统疾病","24","425","13","12","14","5","12","5","42.3","42.24","5.39","13.02"
"Iodixanol","Cardiac disorders","心脏器官疾病","20","231","11","11","14","5","11","5","25.72","25.65","4.68","8.85"
"Iodixanol","Eye disorders","眼器官疾病","19","180","12","12","12","5","12","5","36.32","35.6","5.15","25.87"
"Iodixanol","Psychiatric disorders","精神病类","10","126","4","4","5","3","4","3","65.58","64.55","6","34.38"
"Iodixanol",,,"12","93","9","9","10","3","9","3","31.82","31.78","4.99","7.11"
"Iodixanol","Endocrine disorders","内分泌系统疾病","2","47","2","2","2","2","2","2","11.08","11","3.46","8.55"
"Iodixanol","Infections and infestations","感染及侵染类疾病","8","46","4","4","4","2","4","2","53.02","52.95","5.72","11.86"
"Iodixanol","Injury, poisoning and procedural complications","各类损伤、中毒及操作并发症","9","104","5","5","5","1","5","1","1491.13","1469.46","10.3","63.66"
"Iodixanol","Metabolism and nutrition disorders","代谢及营养类疾病","5","37","3","3","4","1","3","1","1464.62","1462.04","10.29","8.94"
"Iodixanol","Blood and lymphatic system disorders","血液及淋巴系统疾病","3","35","1","1","1","1","1","1","14.09","13.94","3.8","11.19"
"Iodixanol","Surgical and medical procedures","各种手术及医疗操作","2","18","2","2","2","1","2","1","10.5","10.46","3.39","7.21"
"Iodixanol","Ear and labyrinth disorders","耳及迷路类疾病","2","10","1","1","1","1","1","1","44.29","44.23","5.46","6.16"
"Iodixanol","Musculoskeletal and connective tissue disorders","各种肌肉骨骼及结缔组织疾病","13","86","1","1","2","0","1","0","10.49","10.48","3.39","4.45"
"Iodixanol","Hepatobiliary disorders","肝胆系统疾病","2","6","1","1","1","0","1","0","16.21","16.18","4.01","5.1"
"Iodixanol","Product issues","产品问题","1","5","0","0","0","0","0","0","0.34","0.34","-1.57","0.36"
"Iohexol","Respiratory, thoracic and mediastinal disorders","呼吸系统、胸及纵隔疾病","68","3204","49","46","53","31","46","31","92.54","92.47","6.49","76.1"
"Iohexol","Skin and subcutaneous tissue disorders","皮肤及皮下组织类疾病","46","3472","30","29","33","17","28","17","64.13","64.08","5.97","19.52"
"Iohexol","General disorders and administration site conditions","全身性疾病及给药部位各种反应","56","2405","26","23","28","17","23","17","122.52","119.73","6.85","83.26"
"Iohexol","Gastrointestinal disorders","胃肠系统疾病","40","1578","22","21","24","16","21","16","114.45","114.39","6.79","19.43"
"Iohexol","Eye disorders","眼器官疾病","30","597","21","21","21","16","21","16","82.04","82","6.32","19.2"
"Iohexol","Investigations","各类检查","44","775","25","25","26","12","24","12","162.68","162.56","7.27","31.15"
"Iohexol","Vascular disorders","血管与淋巴管类疾病","26","758","19","19","19","11","19","11","5151.71","5147.71","10.92","28.58"
"Iohexol","Injury, poisoning and procedural complications","各类损伤、中毒及操作并发症","31","329","17","17","20","11","17","11","927.02","926.59","9.48","80.95"
"Iohexol","Immune system disorders","免疫系统疾病","12","1294","10","10","10","8","10","8","488.91","472.93","8.68","227.89"
"Iohexol","Nervous system disorders","各类神经系统疾病","63","1453","23","19","29","7","19","7","65.75","65.72","6.01","10.34"
"Iohexol","Cardiac disorders","心脏器官疾病","28","602","15","14","16","6","14","6","10.57","10.52","3.39","9.28"
"Iohexol","Infections and infestations","感染及侵染类疾病","18","166","7","7","9","4","7","4","287.11","286.26","8.03","34.06"
"Iohexol","Renal and urinary disorders","肾脏及泌尿系统疾病","18","397","7","8","8","3","7","3","14.42","14.32","3.83","12.54"
"Iohexol",,,"15","188","8","8","8","3","8","3","77.9","77.86","6.25","15.59"
"Iohexol","Psychiatric disorders","精神病类","24","301","8","6","9","2","6","2","20.92","20.82","4.37","15.99"
"Iohexol","Ear and labyrinth disorders","耳及迷路类疾病","7","55","3","3","3","2","3","2","9.38","9.37","3.22","5.69"
"Iohexol","Musculoskeletal and connective tissue disorders","各种肌肉骨骼及结缔组织疾病","19","321","4","4","6","1","4","1","18.57","18.53","4.2","11.8"
"Iohexol","Product issues","产品问题","9","53","3","3","3","1","3","1","569.58","568.96","8.91","14.58"
