"pt_standard_en","analysis_group","pt","pt_cn","soc_en","soc_cn","cases","a","b","c","d","a_plus_b","a_plus_c","a_plus_b_plus_c_plus_d","ROR","ROR_025","ROR_975","PRR","chi_squared","IC","IC025","expected_E","EBGM","EBGM05","is_ror_signal","is_prr_signal","is_bcpnn_signal","is_mgps_signal","is_core_ror_prr_signal","is_strict_four_algorithm_signal","ror_95ci_range"
"Contrast encephalopathy","Iodixanol","Contrast encephalopathy","造影剂脑病","Injury, poisoning and procedural complications","各类损伤、中毒及操作并发症","33","33","2236","197","19904013","2269","230","19906479","1491.13","1028.96","2160.9","1469.46","41478.61","10.3","9.92","0.0262","63.66","35.16","1","1","1","1","1","1","1,491.13 (1,028.96, 2,160.90)"
"Iodine overload","Iodixanol","Iodine overload","碘超负荷","Metabolism and nutrition disorders","代谢及营养类疾病","4","4","2265","24","19904186","2269","28","19906479","1464.62","507.77","4224.57","1462.04","5005.86","10.29","9.21","0.0032","8.94","3.38","1","1","1","1","1","1","1,464.62 (507.77, 4,224.57)"
"Skin temperature increased","Iodixanol","Skin temperature increased","皮肤温度增高","Investigations","各类检查","4","4","2265","47","19904163","2269","51","19906479","747.89","269.23","2077.53","746.57","2744.71","9.43","8.38","0.0058","8.9","3.36","1","1","1","1","1","1","747.89 (269.23, 2,077.53)"
"Contrast media allergy","Iodixanol","Contrast media allergy","造影剂过敏","Immune system disorders","免疫系统疾病","88","88","2181","1501","19902709","2269","1589","19906479","535.01","429.77","666.01","514.3","42588.86","8.92","8.7","0.1811","129.93","75.04","1","1","1","1","1","1","535.01 (429.77, 666.01)"
"ANAPHYLACTOID SHOCK","Iodixanol","ANAPHYLACTOID SHOCK","类过敏性休克","Immune system disorders","免疫系统疾病","20","20","2249","441","19903769","2269","461","19906479","401.36","255.92","629.46","397.83","7573.45","8.57","8.11","0.0525","37.1","19.62","1","1","1","1","1","1","401.36 (255.92, 629.46)"
"CONTRAST MEDIA REACTION","Iodixanol","CONTRAST MEDIA REACTION","造影剂反应","Immune system disorders","免疫系统疾病","78","78","2191","2180","19902030","2269","2258","19906479","325.01","258.3","408.94","313.87","23488.39","8.24","8.01","0.2574","103.65","59.65","1","1","1","1","1","1","325.01 (258.30, 408.94)"
"Blood brain barrier defect","Iodixanol","Blood brain barrier defect","血脑屏障功能障碍","Nervous system disorders","各类神经系统疾病","4","4","2265","140","19904070","2269","144","19906479","251.08","92.85","678.93","250.64","966.94","7.93","6.91","0.0164","8.71","3.29","1","1","1","1","1","1","251.08 (92.85, 678.93)"
"Rash scarlatiniform","Iodixanol","Rash scarlatiniform","猩红热样皮疹","Skin and subcutaneous tissue disorders","皮肤及皮下组织类疾病","3","3","2266","211","19903999","2269","214","19906479","124.89","39.93","390.64","124.72","363.04","6.94","5.78","0.0244","6.67","2.26","1","1","1","1","1","1","124.89 (39.93, 390.64)"
"Laryngeal discomfort","Iodixanol","Laryngeal discomfort","喉部不适","Respiratory, thoracic and mediastinal disorders","呼吸系统、胸及纵隔疾病","7","7","2262","593","19903617","2269","600","19906479","103.87","49.25","219.08","103.55","702.65","6.68","5.92","0.0684","13.2","5.87","1","1","1","1","1","1","103.87 (49.25, 219.08)"
"Henoch-Schonlein purpura","Iodixanol","Henoch-Schonlein purpura","过敏性紫癜","Skin and subcutaneous tissue disorders","皮肤及皮下组织类疾病","23","23","2246","1968","19902242","2269","1991","19906479","103.56","68.51","156.54","102.52","2285.73","6.66","6.24","0.2269","32.33","17.34","1","1","1","1","1","1","103.56 (68.51, 156.54)"
"Dysphoria","Iodixanol","Dysphoria","烦躁不安","Psychiatric disorders","精神病类","36","36","2233","4892","19899318","2269","4928","19906479","65.58","47.12","91.26","64.55","2236.62","6","5.66","0.5617","34.38","19.09","1","1","1","1","1","1","65.58 (47.12, 91.26)"
"Anaphylactoid reaction","Iodixanol","Anaphylactoid reaction","类过敏反应","Immune system disorders","免疫系统疾病","28","28","2241","3935","19900275","2269","3963","19906479","63.19","43.47","91.85","62.42","1680.59","5.95","5.57","0.4517","29.95","16.34","1","1","1","1","1","1","63.19 (43.47, 91.85)"
