pt_standard_en	soc_en	cases	ROR	ROR_025	ROR_975	PRR	chi_squared	IC	IC025	EBGM	EBGM05
Contrast media reaction	Immune system disorders	574	477.2	433.46	525.36	458.71	195533.66	8.42	8.32	263.94	156.18
Contrast media allergy	Immune system disorders	365	411.45	365.64	462.99	401.31	112278.72	8.27	8.15	217.58	128.42
Contrast encephalopathy	Injury, poisoning and procedural complications	135	1930.02	1483.72	2510.56	1912.4	106526.69	9.63	9.36	202	117.82
ANAPHYLACTOID SHOCK	Immune system disorders	72	250.3	194.55	322.03	249.09	15012.33	7.72	7.46	86.07	49.41
Air embolism	Vascular disorders	70	245.84	190.47	317.31	244.68	14374.92	7.69	7.43	84.14	48.25
EXTRAVASATION	General disorders and administration site conditions	254	93.68	82.41	106.49	92.09	21423.25	6.43	6.3	73.88	43.47
Anaphylactoid reaction	Immune system disorders	225	82.24	71.82	94.18	81	16772.82	6.26	6.12	65.5	38.49
Sneezing	Respiratory, thoracic and mediastinal disorders	850	59.66	55.6	64.03	56.29	44356.55	5.76	5.68	52.44	31.07
Laryngeal discomfort	Respiratory, thoracic and mediastinal disorders	44	106.81	78.55	145.25	106.5	4261.29	6.63	6.31	47.06	26.45
Blood pressure immeasurable	Investigations	64	61.09	47.53	78.51	60.83	3603.3	5.86	5.61	40.34	23.06
Nephropathy toxic	Renal and urinary disorders	306	41.62	37.1	46.69	40.78	11531.16	5.31	5.19	37.26	21.96
MENINGITIS CHEMICAL	Injury, poisoning and procedural complications	23	163.16	105.82	251.58	162.91	3301.42	7.18	6.74	35.71	19.15
Anaphylactic shock	Immune system disorders	553	32.78	30.09	35.73	31.6	16027.52	4.95	4.86	30.08	17.8
Laryngeal oedema	Respiratory, thoracic and mediastinal disorders	141	33.4	28.24	39.51	33.09	4284.25	5.01	4.84	29.1	16.99
Oral pruritus	Gastrointestinal disorders	58	37.42	28.81	48.6	37.28	1992.55	5.18	4.92	27.88	15.88
Meningitis fungal	Infections and infestations	19	124.89	78.03	199.88	124.73	2134.23	6.84	6.36	29.27	15.39
Throat tightness	Respiratory, thoracic and mediastinal disorders	434	23.8	21.62	26.21	23.13	9046.82	4.51	4.41	22.2	13.12
Tongue pruritus	Gastrointestinal disorders	23	42	27.73	63.63	41.94	891.45	5.35	4.92	22.06	11.83
Foaming at mouth	General disorders and administration site conditions	40	28.51	20.84	39.01	28.44	1037.06	4.8	4.48	20.93	11.7
Blindness cortical	Eye disorders	18	54.01	33.71	86.55	53.95	899.41	5.7	5.22	21.85	11.42
Pulse absent	Investigations	76	22.61	18.01	28.38	22.5	1535.94	4.47	4.24	19.46	11.19
EYELID OEDEMA	Eye disorders	153	18.52	15.78	21.74	18.34	2476.03	4.18	4.01	17.15	10.03
Sialoadenitis	Infections and infestations	26	28.27	19.16	41.69	28.22	668.6	4.79	4.39	18.4	9.98
Dysphoria	Psychiatric disorders	71	19.76	15.63	24.99	19.67	1240.53	4.28	4.04	17.19	9.86
Urticaria	Skin and subcutaneous tissue disorders	1924	19.17	18.26	20.11	16.8	28462.71	4.05	4	16.54	9.82
Cyanosis	Vascular disorders	196	17.87	15.5	20.59	17.64	3039.49	4.12	3.98	16.73	9.81
Throat irritation	Respiratory, thoracic and mediastinal disorders	523	17.49	16.02	19.09	16.9	7744.25	4.06	3.97	16.46	9.73
Compartment syndrome	Musculoskeletal and connective tissue disorders	39	21.25	15.48	29.17	21.2	738.99	4.38	4.06	16.68	9.31
Anaphylactic reaction	Immune system disorders	603	16.61	15.3	18.03	15.97	8385.13	3.98	3.9	15.6	9.24
Inadvertent injection air bubble	Injury, poisoning and procedural complications	10	156.59	81.33	301.47	156.48	1383.98	7.13	6.46	18.38	8.81
