soc_en	cases	ROR	ROR_025	ROR_975	PRR	chi_squared	IC	IC025	EBGM	EBGM05	is_ror_signal	is_prr_signal	is_bcpnn_signal	is_mgps_signal	is_strict_four_algorithm_signal
Skin and subcutaneous tissue disorders	5259	4.92	4.76	5.09	3.53	10562.69	1.82	1.78	3.52	2.09	1	1	1	1	1
Immune system disorders	2981	8.53	8.19	8.88	7.01	15735.13	2.8	2.76	6.97	4.14	1	1	1	1	1
Respiratory, thoracic and mediastinal disorders	4405	4.28	4.13	4.43	3.3	7747.03	1.72	1.68	3.29	1.96	1	1	1	0	0
General disorders and administration site conditions	3795	0.66	0.64	0.68	0.75	497.69	-0.42	-0.46	0.75	0.44	0	0	0	0	0
Nervous system disorders	2583	1.11	1.07	1.16	1.09	25	0.13	0.09	1.09	0.65	1	0	1	0	0
Gastrointestinal disorders	2481	1.17	1.13	1.23	1.15	53.74	0.2	0.15	1.15	0.68	1	0	1	0	0
Vascular disorders	1669	2.27	2.16	2.39	2.13	1052.7	1.09	1.04	2.13	1.26	1	1	1	0	0
Investigations	1504	0.88	0.83	0.92	0.89	23.33	-0.17	-0.22	0.89	0.53	0	0	0	0	0
Cardiac disorders	1395	1.81	1.71	1.91	1.73	457.09	0.79	0.74	1.73	1.03	1	0	1	0	0
Renal and urinary disorders	1092	1.9	1.79	2.03	1.84	434.02	0.88	0.81	1.84	1.09	1	0	1	0	0
Eye disorders	1033	1.91	1.79	2.03	1.85	416	0.88	0.82	1.84	1.09	1	0	1	0	0
Injury, poisoning and procedural complications	993	0.29	0.27	0.31	0.34	1603.91	-1.56	-1.63	0.34	0.2	0	0	0	0	0
Psychiatric disorders	574	0.38	0.35	0.41	0.4	564.7	-1.31	-1.4	0.4	0.24	0	0	0	0	0
Musculoskeletal and connective tissue disorders	542	0.38	0.35	0.41	0.4	534.74	-1.32	-1.41	0.4	0.24	0	0	0	0	0
Infections and infestations	421	0.24	0.22	0.27	0.26	962.53	-1.92	-2.02	0.27	0.16	0	0	0	0	0
Metabolism and nutrition disorders	208	0.28	0.24	0.32	0.29	383.36	-1.79	-1.93	0.29	0.17	0	0	0	0	0
Blood and lymphatic system disorders	191	0.34	0.29	0.39	0.34	247.64	-1.54	-1.68	0.35	0.2	0	0	0	0	0
Product issues	187	0.32	0.28	0.37	0.33	263.67	-1.6	-1.74	0.33	0.19	0	0	0	0	0
Hepatobiliary disorders	117	0.39	0.32	0.47	0.39	112.12	-1.35	-1.53	0.39	0.23	0	0	0	0	0
Surgical and medical procedures	112	0.22	0.18	0.26	0.22	312.14	-2.16	-2.35	0.22	0.13	0	0	0	0	0
Ear and labyrinth disorders	107	0.69	0.57	0.84	0.7	14.31	-0.52	-0.72	0.7	0.4	0	0	0	0	0
Endocrine disorders	103	1.11	0.91	1.35	1.11	1.12	0.15	-0.05	1.11	0.64	0	0	0	0	0
Reproductive system and breast disorders	32	0.12	0.08	0.17	0.12	205.64	-3.03	-3.39	0.12	0.07	0	0	0	0	0
Pregnancy, puerperium and perinatal conditions	23	0.17	0.11	0.26	0.17	93.08	-2.54	-2.96	0.17	0.09	0	0	0	0	0
Neoplasms benign, malignant and unspecified (incl cysts and polyps)	22	0.02	0.02	0.04	0.02	898.89	-5.33	-5.76	0.03	0.01	0	0	0	0	0
Social circumstances	20	0.12	0.08	0.19	0.13	122.52	-2.99	-3.43	0.13	0.07	0	0	0	0	0
Congenital, familial and genetic disorders	15	0.18	0.11	0.3	0.18	55.39	-2.46	-2.97	0.19	0.1	0	0	0	0	0
