analysis_group	section	category	n	percentage
POOLED	Sex	Female	6932	46.90
POOLED	Sex	Male	5138	34.76
POOLED	Sex	Missing or unknown	2711	18.34
POOLED	Age group	18-59 years	5355	36.23
POOLED	Age group	>=60 years	5257	35.57
POOLED	Age group	Missing or unknown	3900	26.39
POOLED	Age group	<18 years	269	1.82
POOLED	Reporter country	US	5895	39.88
POOLED	Reporter country	CN	1386	9.38
POOLED	Reporter country	JP	1016	6.87
POOLED	Reporter country	Missing or unknown	940	6.36
POOLED	Reporter country	FR	905	6.12
POOLED	Reporter country	CA	505	3.42
POOLED	Reporter country	AU	415	2.81
POOLED	Reporter country	GB	357	2.42
POOLED	Reporter country	IT	344	2.33
POOLED	Reporter country	DE	311	2.10
POOLED	Reporter country	BR	287	1.94
POOLED	Reporter country	IN	279	1.89
POOLED	Reporter country	ES	225	1.52
POOLED	Reporter country	PL	132	0.89
POOLED	Reporter country	SE	112	0.76
POOLED	Reporter country	GR	96	0.65
POOLED	Reporter country	EU	66	0.45
POOLED	Reporter country	IE	65	0.44
POOLED	Reporter country	NO	65	0.44
POOLED	Reporter country	CO	63	0.43
POOLED	Reporter country	DK	62	0.42
POOLED	Reporter country	VN	59	0.40
POOLED	Reporter country	CH	57	0.39
POOLED	Reporter country	RU	54	0.37
POOLED	Reporter country	KR	52	0.35
POOLED	Reporter country	FI	48	0.32
POOLED	Reporter country	MX	45	0.30
POOLED	Reporter country	PT	45	0.30
POOLED	Reporter country	AT	41	0.28
POOLED	Reporter country	PR	38	0.26
POOLED	Reporter country	INDIA	35	0.24
POOLED	Reporter country	NZ	35	0.24
POOLED	Reporter country	TH	35	0.24
POOLED	Reporter country	EG	32	0.22
POOLED	Reporter country	TR	32	0.22
POOLED	Reporter country	NL	30	0.20
POOLED	Reporter country	AR	29	0.20
POOLED	Reporter country	RO	27	0.18
POOLED	Reporter country	HR	26	0.18
POOLED	Reporter country	NORWAY	22	0.15
POOLED	Reporter country	BY	20	0.14
POOLED	Reporter country	TURKEY	20	0.14
POOLED	Reporter country	LB	19	0.13
POOLED	Reporter country	POLAND	19	0.13
POOLED	Reporter country	TW	19	0.13
POOLED	Reporter country	IL	17	0.12
POOLED	Reporter country	ZA	17	0.12
POOLED	Reporter country	ID	16	0.11
POOLED	Reporter country	IR	16	0.11
POOLED	Reporter country	RUSSIAN FEDERATION	16	0.11
POOLED	Reporter country	MD	15	0.10
POOLED	Reporter country	CL	12	0.08
POOLED	Reporter country	MY	12	0.08
POOLED	Reporter country	SOUTH AFRICA	11	0.07
POOLED	Reporter country	CI	10	0.07
