strength	route	pmid	doi	year	title	journal	authors	queries	abstract
强护理前置	护士给药错误/近失/用药安全流程	40554946	10.1016/j.nepr.2025.104438	2025	Exploring the impact of artificial intelligence integration on medication error reduction: A nursing perspective.	Nurse education in practice	Alqaraleh M; Almagharbeh WT; Ahmad MW	Q1_nursing_title_drug_safety;Q3_nursing_monitoring_admin;Q5_med_admin_errors_nurses	To systematically evaluate the impact of artificial intelligence (AI) technologies on reducing medication errors in nursing practice, focusing on tools such as clinical decision support systems (CDSS), smart infusion pumps, barcode scanning and automated prescription validation. Medication errors are a persistent threat to patient safety and a major burden on healthcare systems. Nurses, who are central to the medication administration process, remain vulnerable to human error. AI offers new opportunities to enhance safety through real-time decision support and predictive analytics. A systematic review following PRISMA 2020 guidelines and using a mixed-methods approach to integrate quantitative outcomes with qualitative insights from nursing practice. Studies published in English between January 2013 and March 2024 were retrieved from PubMed, ScienceDirect and CINAHL. Eligibility was guided by the PICO framework. Quality appraisal tools appropriate to study designs were applied. Twelve studies were included. CDSS reduced operating room errors by up to 95 %, while smart infusion pumps reduced IV medication errors by approximately 80 %. Prescription validation tools led to a 55 % reduction in prescribing errors. AI-driven alert filtering decreased non-actionable alerts by 45 %. Qualitative data revealed both appreciation of AI's utility and concerns about algorithmic bias, system usability and trust. AI technologies significantly improve medication safety in nursing. However, successful implementation depends on nurse training, system integration, ethical safeguards and workflow alignment. Further experimental studies are needed to validate efficacy and address barriers such as alert fatigue, algorithm transparency and adoption resistance.
强护理前置	护士给药错误/近失/用药安全流程	41031474	10.1111/jocn.70109	2026	Assessing the Effectiveness of Interventions Implemented by Nurses to Reduce Medication Administration Errors in Hospitalised Acute Adult Patient Settings: Systematic Review and Meta-Analysis.	Journal of clinical nursing	Eze AU; Marufu T; Amagyei A; Nelson D; Laparidou D; C Manning J	Q1_nursing_title_drug_safety;Q2_nurse_led_monitoring;Q3_nursing_monitoring_admin	Medication administration errors are high-risk patient safety issues that could potentially cause harm to patients, thereby delaying recovery and increasing length of hospital stay with additional healthcare costs. Nurses are pivotal to the medication administration process and are considered to be in the position to recognize and prevent these errors. However, the effectiveness of interventions implemented by nurses to reduce medication administration errors in acute hospital settings is less reported. To identify and quantify the effectiveness of interventions by nurses in reducing medication administration errors in adults' inpatient acute hospital. A systematic review and meta-analysis was conducted up to 03/24. Six databases were searched. Study methodology quality assessment was conducted using the Joanna Briggs Institute (JBI) critical appraisal tools, and data extraction was conducted. Meta-analysis was performed to combine effect sizes from the studies, and synthesis without meta-analysis was adopted for studies that were not included in the meta-analysis to aggregate and re-examine results from studies. Searches identified 878 articles with 26 studies meeting the inclusion criteria. Five types of interventions were identified: (1) educational program, (2) workflow smart technologies, (3) protocolised improvement strategy, (4) low resource ward-based interventions, and (5) electronic medication management. The overall results from 14 studies included in meta-analysis showed interventions implemented by nurses are effective in reducing medication administration errors (Z = 2.15 (p = 0.03); odds ratio = 95% CI 0.70 [0.51, 0.97], I2 = 94%). Sub-group analysis showed workflow smart technologies to be the most effective intervention compared to usual care. Findings demonstrate that nurse-led interventions can significantly reduce medication administration errors compared to usual care. The effectiveness of individual interventions varied, suggesting a bundle approach may be more beneficial. This provides valuable insights for clinical practice, emphasizing the importance of tailored, evidence-based approaches to improving medication safety. PRISMA guided the review and JBI critical appraisal tools were used for quality appraisal of included studies.
强护理前置	护士给药错误/近失/用药安全流程	41961678	10.1097/MD.0000000000048260	2026	Nursing performance, medication error, and patient safety concerning night shift rotations.	Medicine	Al-Mugheed K	Q1_nursing_title_drug_safety;Q5_med_admin_errors_nurses	This study investigates the impact of night shift rotations on nursing performance and medication errors, and examines the mediating role of patient safety and quality of work. A cross-sectional design was used, targeting 350 nurses from a selected hospital in Jordan. The required sample size of 184 participants was calculated using an online sample size calculator. Data were analyzed using descriptive and inferential statistics to explore the relationships between night shift rotations, nursing performance, medication errors, and patient safety quality. The results showed that night shift rotations significantly affected both nursing performance and medication errors. Additionally, patient safety and quality of work were found to mediate these relationships, indicating that higher levels of patient safety and quality of work can strengthen nursing performance and help mitigate medication errors. The results showed that night shift rotations significantly affected both nursing performance and medication errors. Additionally, patient safety and quality of work were found to mediate these relationships, indicating that higher levels of patient safety and quality of work can strengthen nursing performance and help mitigate medication errors.
强护理前置	护士给药错误/近失/用药安全流程	39478723	10.4103/ijnmr.ijnmr_323_23	2024	Clinical Simulation in Nursing Students' Safe Medication Administration: A Systematic Review.	Iranian journal of nursing and midwifery research	Shahzeydi A; Dianati M; Kalhor F	Q1_nursing_title_drug_safety;Q3_nursing_monitoring_admin;Q5_med_admin_errors_nurses	Nursing students' safe medication administration is a crucial aspect of ensuring patient safety. Clinical simulation is a novel teaching method applied to reduce factors threatening medication safety in the education of nursing students. Therefore, the aim of the present study was to conduct a review study in this field. The present review was conducted using keywords of education, clinical competence, medication safety, medication error, nursing student, clinical simulation, and educational strategies. Suitable articles published between 2000 and 2023 were systematically searched in various national and international online databases, including SID, Magiran, Ovid, Scopus, Web of Science, PubMed, ProQuest, and Google Scholar in both English and Persian languages. A total of 855 articles were retrieved from the initial search findings. After eliminating duplicate and irrelevant articles based on predetermined criteria, a qualitative selection was conducted using CONSORT, MMAT, and JBI critical appraisal checklists. Ultimately, a selection of 11 articles was made, specifically focusing on medication safety education for nursing students through clinical simulation. The findings showed that using clinical simulation improved medication safety and safety knowledge among nursing students. Additionally, this approach was found to enhance their competence in medication administration. Based on the findings, clinical simulation is a safe and effective approach for enhancing nursing students' proficiency in medication safety and administration. Therefore, it is recommended that nursing education authorities implement these findings to improve nursing students' knowledge, performance, and competency in safely administering medications.
强护理前置	护士给药错误/近失/用药安全流程	39467617	10.1136/bmjoq-2023-002711	2024	Resilience in nursing medication administration practice: a systematic review with narrative synthesis.	BMJ open quality	Kellett PL; Franklin BD; Pearce S; Benn J	Q1_nursing_title_drug_safety;Q3_nursing_monitoring_admin	Resilience in nursing medication administration practice: a systematic review with narrative synthesis. Little is known about how nurses adapt medication administration practices to preserve safety. The capacity to adapt and respond before harm occurs has been labelled 'resilience'. Current evidence examining medication safety largely focuses on errors and what goes wrong. This review aimed to synthesise evidence for the application of resilience principles and practices in nursing medication administration. The Preferred Reporting Items for Systematic Reviews and Meta-Analyses guided the review, which was registered with PROSPERO. MEDLINE, EMBASE, PsychINFO and CINAHL databases were searched from 14 August 2020 to 1 January 2021 for English-language studies. A systematic review of empirical studies of any design relating to resilience and safety in nursing medication administration in the inpatient setting was conducted. Methodological quality was appraised using the Mixed Methods Appraisal Tool. Data were synthesised thematically. Thirty-two studies with a range of methodologies of mostly good quality met the inclusion criteria. Eleven interventional studies included two that evaluated the effectiveness of education interventions and nine exploratory studies with outcomes showing the impact of an intervention designed or examined to build resilience. Twenty-one non-interventional studies showed how resilience principles are put into practice. Only three studies explicitly named the concept of resilience. Resilient medication administration strategies result from five triggers. Nurses' resilience practices were found to be responses to identified trigers that threaten safety and productivity. These were often short term, real-time proactive adaptations to preserve safety, compensating for and responding to complexities in the modern healthcare setting. CRD42018087928.
强护理前置	护士给药错误/近失/用药安全流程	39544448	10.1177/17449871241278860	2024	Nurses' attitudes towards patient safety and their relationship to adverse patient events in Oman.	Journal of research in nursing : JRN	Almanhali R; Al Sabei SD; Matua Amandu G	Q1_nursing_title_drug_safety	Adverse events (AEs) are major causes of mortality. Identification of nurses' attitudes towards patient safety and their impact on AEs is critical in enhancing safe practices. To assess the relationship between attitudes towards patient safety and AEs as perceived by nurses working in Sultanate of Oman. A descriptive, cross-sectional study was conducted. Data to evaluate nurses' attitudes towards patient safety was collected using the Safety Attitude Questionnaire. The relationship between attitudes towards patient safety and the perceived incidence of adverse patient events was examined using logistic regression analysis. A total of 184 questionnaires were administered from February to April 2022, with a response rate of 96.8%. The results revealed that nurses had a negative attitude towards patient safety. The highest reported adverse event was patient and family complaints. Findings showed a significant relationship between working conditions and patient and family verbal abuse (OR = 0.505, CI (0.283-0.901), p = 0.021). Job satisfaction was a significant predictor of patient fall (OR = 0.57, CI (0.353-0.932), p = 0.025) and medication error (OR = 0.58, CI (0.354-0.949), p = 0.030). Nurses' attitudes towards patient safety are a significant predictor contributing to the occurrence of AEs. This finding provides key insights about patient safety status that key stakeholders could use to improve safety culture, including raising patient safety awareness.
强护理前置	护士主导随访/监测/管理	41240718	10.1016/j.ijnurstu.2025.105274	2026	Nurses' role in deprescribing for older adults: A scoping review.	International journal of nursing studies	Barbuiani G; Terzoni S; Caruso R; Cilluffo S; Pasina L; Lusignani M	Q1_nursing_title_drug_safety;Q2_nurse_led_monitoring	To map the evidence on nurses' roles and contributions in deprescribing within the multidisciplinary team across all clinical settings. This scoping review was conducted using Arksey and O'Malley's framework and the Joanna Briggs Institute (JBI) methodology, and reported by the PRISMA-ScR 2020 checklist. A systematic search was conducted across CINAHL, Embase, MEDLINE (Ovid), Web of Science, Scopus and Google Scholar, with no time restrictions. Studies in English and Italian were included if they explored the role of nurses in deprescribing in older adults (≥65 years) across hospital, home, or community settings. A wide range of study designs was considered, including empirical studies, reviews, and gray literature. 28 studies were included in the review. Nurses played key roles in deprescribing through medication review, adherence assessment, detection of adverse drug effects or drug-drug interactions, patient education, and monitoring. Nurse-led interventions, conducted independently or in collaboration with the multidisciplinary team, were effective in reducing potentially inappropriate medications and improving adherence as primary outcomes. Key facilitators of nurses' views on deprescribing included strong interdisciplinary collaboration, training, and use of decision-support tools. Limited resources, a lack of trust in medication counseling, fragmented care, and patient-related difficulties were the main obstacles. The changing and crucial role that nurses play in the deprescribing process is highlighted in this scoping review. The medication safety of older adults necessitates empowering nurses through organizational frameworks, technology support, and training. There is a clear need for stronger, high-quality evidence, including randomized controlled trials and rigorously designed implementation studies, to assess outcomes and guide the integration of nurse-led deprescribing interventions into everyday clinical practice. Protocol registered on the Open Science Framework (doi:10.17605/OSF.IO/C49BU).
强护理前置	护士给药错误/近失/用药安全流程	39225448	10.1111/ijn.13299	2024	Factors influencing the reporting of medication errors and near misses among nurses: A systematic mixed methods review.	International journal of nursing practice	Braiki R; Douville F; Gagnon MP	Q1_nursing_title_drug_safety;Q5_med_admin_errors_nurses	This study aimed to systematically review empirical evidence on factors influencing nurses to report medication errors and near misses. There is underreporting of medication errors among nurses, in particular among novice and beginner nurses. To improve quality of care, factors influencing the reporting of medication errors and near misses should be documented. A systematic mixed methods review was conducted. CINAHL, Cochrane Collaboration, Embase, Medline, PsycINFO and Web of Science databases were explored and analysed from December 1990 to December 2023. Two reviewers independently selected and extracted data using a standardized data extraction grid. Data were analysed using thematic analysis based on the adapted theory of planned behaviour. Forty-two studies met the eligibility criteria. Principal factors influencing the reporting of medication errors and near misses among nurses were associated with perceived behavioural control, subjective norm and attitude. Few studies examined factors influencing reporting medication errors and near misses among novice and beginner nurses, and sociodemographic and professional factors. To understand factors influencing reporting of medication errors and near misses, further studies should be conducted to investigate sociodemographic and professional factors.
强护理前置	护士给药错误/近失/用药安全流程	39301846	10.1111/nhs.13161	2024	Addressing Medication Administration Safety Through Simulation: A Quasi-Experimental Study Among Nursing Students.	Nursing & health sciences	Shor V; Kimhi E; Avraham R	Q1_nursing_title_drug_safety;Q3_nursing_monitoring_admin;Q5_med_admin_errors_nurses	"Healthcare institutions are dedicated to minimizing medication errors and promoting their reporting. This study investigates the impact of simulation on nursing students' attitudes toward and intention to report medication errors. A quasi-experimental one-group pre-post-test study was conducted. Third-year nursing students (N = 63) participated in a scenario-based simulation for medication administration. Participants' errors were documented. Participants self-reported attitudes toward medication administration safety and intention to report errors. The most reported error was ""contraindicated in disease"" (61%). The simulation increased attitudes of preparedness by the training program received (p < 0.01) and belief in the patient's involvement in preventing errors (p < 0.01), and decreased the belief that professional incompetence reveals errors (p = 0.015). Intention to report errors was influenced by medication error training received (p = 0.045), confidence in error reporting (p < 0.001), and a sense of responsibility to disclose errors (p = 0.001). Simulation effectively shapes attitudes and intentions regarding medication error reporting. Improving nursing students' awareness, skills, and clinical judgment can foster a safety culture and potentially reduce patient harm. Future research should examine the long-term effects of simulation and its impact on reducing medication errors."
强护理前置	其他	39392417	10.1111/wvn.12749	2024	Experiences of clinical nurses with medication interruption: A systematic review and qualitative meta-synthesis.	Worldviews on evidence-based nursing	Wang Q; Ding X; Zhu M; Chen H; Yang Y; Wang Y	Q1_nursing_title_drug_safety	Managing medication interruptions is considered one of the biggest dilemmas for nurses in clinical settings. To improve medication safety, it was imperative to conduct a systematic review to get a deeper understanding of nurses' experiences with medication interruptions. A systematic review and qualitative meta-synthesis aimed to explore clinical nurses' experiences of interruption during medication in hospitals. Systematic searches were conducted in PubMed, CINAHL, Ovid Medline, Embase, Web of Science, and The Cochrane Library from inception to January 2024. The search strategy included four groups of keywords: (1) qualitative research, (2) nurses, (3) medication interruption, and (4) experience. Critical Appraisal Skills Programme was used to assess the quality of the studies. Meta-ethnography was utilized to synthesize the findings of the included studies. Nine articles published between 2012 and 2023 were included; the number of participants varied from 5 to 40, aged 20-68 years, and the majority were female. Four synthesized findings were identified as follows: (1) an inevitable part of the routine, (2) a decision-making process, (3) working in a minefield, and (4) coping with interruption. Nurses embraced interruptions as an inherent component of clinical care. Previous experience and nursing culture, encompassing personal and professional aspects, significantly influence nurses' attitudes toward medication interruptions. It is crucial to incorporate the distinctive work experiences of nurses into techniques aimed at efficiently handling interruptions in future research. The registration number in PROSPERO is CRD42023470276.
