"PMID"	"DOI"	"Year"	"Journal"	"Title"	"HasAbstract"	"Abstract"
"42359924"	"10.1111/nicc.70561"	"2026"	"Nursing in critical care"	"Implementation of Graded Intra-Hospital Transport Protocols for ICU Patients in Southwest China: A Multicentre Cross Sectional Survey."	"Yes"	"BACKGROUND: Intra-hospital transport of critically ill patients is a high-risk process. Although graded transport is recommended to improve safety, evidence on its implementation in southwestern China is limited. AIM: To describe graded intra-hospital transport implementation in ICUs in southwestern China and examine associated factors. STUDY DESIGN: This was a multicentre cross-sectional survey conducted in ICUs across five provincial-level regions in southwestern China. RESULTS: A total of 1337 ICU nurses from 201 ICUs across five provincial-level regions in southwestern China participated in this survey. Overall, 57.21% of ICUs implemented graded transport. Hospital level, teaching hospital status and higher staff-to-bed ratios were independently associated with implementation (all p < 0.001). Compared with ICUs with partial implementation, those with comprehensive implementation were more likely to allocate transport personnel by transport grade, prepare required medications, use a pre-transport checklist and plan transport routes in advance. They were also more likely to document changes in patients' condition, related interventions and signed handover records after transport (all p < 0.05). Common adverse events included decreases of >20% in heart rate, oxygen saturation, or blood pressure, insufficient oxygen supply, catheter displacement or occlusion, and fluid extravasation. Frequently perceived risk factors were patient instability, inadequate pre-transport risk assessment, incomplete transport systems and processes, and insufficient preparation of equipment and medications. CONCLUSIONS: Graded intra-hospital transport implementation remains inconsistent across ICUs in southwestern China and is associated with hospital characteristics and staffing resources. Comprehensive implementation may support better transport preparation, communication, documentation and adverse event reporting. RELEVANCE TO CLINICAL PRACTICE: Safer graded transport may be promoted by strengthening structured staff training, reinforcing pre-transport risk assessment, standardising transport systems and processes, and optimising staffing and resource allocation."
"42354585"	"10.3390/healthcare14121727"	"2026"	"Healthcare (Basel, Switzerland)"	"Factors of the Nursing Practice Environment Shaping Nurses' Perceived Benefits of Adverse Event Reporting: A Cross-Sectional Study Among Primary Healthcare Nurses."	"Yes"	"Adverse event reporting is a critical component of patient safety systems; however, nurses' engagement in reporting is influenced not only by reporting procedures but also by broader organizational characteristics of the nursing practice environment. Although previous studies have examined reporting behaviors in various healthcare settings, limited evidence is available regarding how organizational factors influence nurses' perceptions of adverse event reporting in post-Soviet primary healthcare systems. To examine the relationship between the nursing practice environment and nurses' perceived benefits of adverse event reporting in primary healthcare settings in Kazakhstan and to explore the underlying factor structure of the nursing practice environment within this context. A cross-sectional survey was conducted among 468 primary healthcare nurses from six major cities in Kazakhstan. Participants were recruited through professional and educational networks using a targeted convenience sampling strategy. The nursing practice environment was assessed using the Revised Professional Practice Environment (RPPE) scale, while attitudes toward adverse event reporting were measured using the Reporting of Clinical Adverse Events Scale (RoCAES), focusing on the perceived benefits of reporting dimension. Exploratory factor analysis was performed to identify the underlying structure of the RPPE scale. Associations between EFA-derived factors and perceived benefits of adverse event reporting were examined using Spearman correlation analysis and multivariable logistic regression with adjustment for age, gender, city, and professional position. Exploratory factor analysis identified three dimensions of the nursing practice environment: Professional Motivation and Teamwork, Interprofessional Conflict and Workplace Relationships, and Staffing Adequacy. Spearman correlation analysis demonstrated significant associations between all three factors and perceived benefits of adverse event reporting. Factor 1 (Professional Motivation and Teamwork) showed the strongest negative correlation with the outcome (r = -0.562, < 0.001), followed by Factor 3 (Staffing Adequacy) (r = -0.434, < 0.001), whereas Factor 2 (Interprofessional Conflict and Workplace Relationships) demonstrated a positive correlation (r = 0.227, < 0.001). In the multivariable logistic regression model adjusted for age, gender, city, and professional position, Factor 1 was negatively associated with favorable perceptions of adverse event reporting (OR = 0.389, < 0.001), whereas Factor 2 demonstrated a positive association (OR = 1.763, = 0.002). Factor 3 and demographic variables were not statistically significant. The findings suggest that nurses' perceptions of the benefits of adverse event reporting are influenced by multiple dimensions of the nursing practice environment. Exploratory factor analysis identified three organizational dimensions-Professional Motivation and Teamwork, Interprofessional Conflict and Workplace Relationships, and Staffing Adequacy-that were associated with reporting perceptions. After adjustment for demographic characteristics, Professional Motivation and Teamwork and Interprofessional Conflict and Workplace Relationships remained independently associated with perceived benefits of adverse event reporting, whereas demographic factors did not demonstrate significant associations. These findings highlight the importance of organizational conditions, communication processes, and professional engagement in shaping nurses' attitudes toward adverse event reporting. Efforts to strengthen patient safety reporting systems should therefore extend beyond reporting procedures alone and include broader organizational strategies aimed at improving communication, teamwork, and supportive work environments within primary healthcare settings."
"42295693"	"10.1007/s43440-026-00873-3"	"2026"	"Pharmacological reports : PR"	"Italian regional data and oropharyngeal adverse events to drugs and vaccines: insights from a 3-year spontaneous reporting (2022-2024)."	"Yes"	"BACKGROUND: Oropharyngeal adverse events (O-AEs) represent a potential safety concern associated with several drugs and/or vaccines. Although often underestimated, these events may provide valuable insights into a patient's overall clinical condition, appearing initially mild but later worsening. Therefore, this study aimed to analyze O-AEs related to drugs and/or vaccines using structured safety data. METHODS: Safety reports from three Italian regions were retrieved from the national pharmacovigilance database (rete nazionale di farmacovigilanza, RNF) and analyzed for the period 2022-2024. All reports were structured and analyzed according to the International Council of Harmonisation (ICH) E2B (R3) format. Additionally, reporting odds ratios (RORs) were calculated to compare the likelihood of O-AEs being reported by different categories of reporters (e.g., physicians, other healthcare professionals, or patients). RESULTS: Over three years, 47,664 reports were collected, of which 1,740 (3.6%) contained at least one suspected O-AE. Most patients were female (65.7%) with a median age of 55 years (IQR 38-66). The majority of reports described non-serious events (66.7%), and outcomes were favorable in most cases (75.9%). The safety reports related to drugs (90.5%) were largely more than those related to vaccines (9.5%). A total of 129 cases of medication-related osteonecrosis of the jaw (MRONJ) were identified, most of which were serious and had unfavorable outcomes. Disproportionality analysis revealed that physicians were less likely to report O-AEs than patients (ROR=0.72; 0.62-0.84; P<<0.05) and more likely than nurses (ROR=1.34; 0.98-1.87; P<0.05). Compared with 2019-2021, the main difference was the lower proportion of vaccine-related reports, which declined from 47.8% to 9.5% in 2022-2024. CONCLUSIONS: Only a small proportion of safety reports involved O-AEs. These findings highlight the importance of enhancing awareness among physicians (particularly dentists) regarding O-AEs, and of fostering a collaborative pharmacovigilance culture across healthcare providers, thereby improving patient safety through more timely and reliable reporting."
"42274832"	"10.1007/s10916-026-02423-z"	"2026"	"Journal of medical systems"	"Feasibility Evaluation of a Standalone Virtual Reality System for Neonatal Resuscitation Training."	"Yes"	"Maintaining competency in neonatal resuscitation requires repeated practice. However, equipment costs, space, and instructor availability constrain mannequin-based simulation. Standalone virtual reality (VR) training may improve access. This study aimed to evaluate the feasibility, acceptability, and safety of a standalone VR-based neonatal resuscitation training application (NCPR-VR) focused on positive-pressure ventilation, among already-certified perinatal healthcare professionals. This single-arm exploratory feasibility study involved 32 already-certified perinatal healthcare professionals (11 physicians, 14 nurses, and 7 midwives). Feasibility and acceptability were assessed by session completion, self-reported usefulness/recommendation, System Usability Scale (SUS), User Experience Questionnaire (UEQ), and Igroup Presence Questionnaire (IPQ). Safety was monitored by Simulator Sickness Questionnaire (SSQ) and adverse event reporting. Analyses were limited to descriptive statistics. All 32 participants completed the VR session without adverse event-induced discontinuation (completion rate, 100%). Median perceived usefulness and willingness to recommend the application were both 5 (IQR, 4-5) on a 5-point Likert scale. The median SUS score was 65.0 (IQR, 55.0-73.1), indicating moderate usability. UEQ subscales showed favorable ratings for attractiveness, stimulation, and novelty. IPQ involvement was unsatisfactory and experienced realism only satisfactory; presence and spatial presence were acceptable. Simulator sickness was low (median SSQ, 1.9); three participants reported mild symptoms resolving within 10 min. No serious adverse events occurred. NCPR-VR was feasible and acceptable among already-certified providers, with full session completion and no serious adverse events. Involvement and experienced realism require improvement. Trial registration: UMIN000058975 (University hospital Medical Information Network Clinical Trials Registry; registered September 6, 2025)."
"42270105"	"10.1136/bmjopen-2025-107828"	"2026"	"BMJ open"	"Driving factors and barriers to irrational antibiotic prescribing in Pakistan: a qualitative study of physicians', pharmacists' and nurses' perspectives in public and private hospitals."	"Yes"	"BACKGROUND: Irrational prescribing is a major global health concern, contributing significantly to increased morbidity, mortality and antimicrobial resistance (AMR). Despite existing knowledge and awareness, irrational antibiotic use remains prevalent among healthcare professionals. OBJECTIVES: This qualitative study aimed to explore the contributing factors to irrational antibiotic prescribing, understand healthcare professionals' perceptions, identify barriers to rational use and gather suggestions for improving rational antibiotic use. STUDY DESIGN AND PARTICIPANTS: A qualitative study using semi-structured interviews was conducted with participants. A total of 60 healthcare professionals (20 physicians, 20 pharmacists and 20 nurses) participated after providing verbal consent. METHODOLOGY: Semi-structured interviews were conducted with healthcare professionals across various clinical settings in Pakistan until data saturation was reached. The Consolidated Criteria for Reporting Qualitative Research (COREQ) checklist was used to ensure transparent reporting. An inductive thematic analysis approach was employed and themes and subthemes were developed from the data. RESULTS: The findings revealed a generally good understanding of irrational prescribing. Contributing factors included prescriber-related issues, patient expectations, weak regulatory oversight and underutilisation of pharmacists. Key barriers identified were financial constraints, lack of awareness and insufficient resources. Suggestions for improvement included regular audits, public awareness campaigns, an integrated healthcare system, interprofessional collaboration, drug utilisation reviews, adverse drug reaction reporting, standardising hospital policies and strengthening regulatory frameworks. CONCLUSION: This study highlights critical factors and barriers contributing to irrational antibiotic prescribing and presents practical suggestions to improve rational use. Implementing evidence-based approaches, updating clinical guidelines, and promoting awareness among healthcare professionals are essential steps toward improving prescribing practices and combating AMR."
"42259568"	"10.1136/bmjopen-2026-119277"	"2026"	"BMJ open"	"Analysis of factors associated with severity categories of fall-related injuries among inpatients at a tertiary grade A hospital in Zhejiang province from 2015 to 2025: a retrospective observational study."	"Yes"	"OBJECTIVES: Understanding the factors associated with the severity categories of fall-related injuries and intervening on modifiable determinants can mitigate the risk of serious fall injuries, thereby enhancing patient safety, reducing length of hospital stay and alleviating the economic burden imposed by these injuries. This study aims to identify factors associated with the severity categories of fall-related injuries and to explore differences in the clinical characteristics of patients who sustain such injuries. DESIGN: A retrospective observational study. SETTING: A tertiary care hospital in Zhejiang Province, China. PARTICIPANTS: This study included 1030 inpatient fall incidents that occurred between January 2015 and March 2025, drawn from the nursing adverse event reporting system. OUTCOME MEASURES: Based on the fall-related injury outcomes recorded in the nursing adverse event reporting system. Descriptive statistics were employed to analyse the current status of fall-related injuries. Univariable and multivariable analyses were conducted to explore factors associated with the severity categories of fall-related injuries. RESULTS: The incidence of fall-related injuries in this study was 60.6% and the incidence of serious fall injuries was 12.1%. Logistic regression analysis identified factors associated with the severity categories of fall-related injuries. The analysis revealed that patients aged ≥65 years (minor injuries OR=1.82; serious injuries OR=1.76), women (OR=1.59; 1.90), tripping falls (OR=3.94; 4.48), impact to the knee (OR=4.00) or trunk (OR=4.28; 5.34) and ambulatory status prior to the fall (OR=1.71; 1.97) were all associated with more severe fall injuries. CONCLUSIONS: These findings underscore the need to strengthen fall and fall-related injury prevention efforts among inpatients, particularly among patients aged ≥65 years and women. Clinical professionals should prioritise protecting high-risk populations through fall prevention and control to reduce the risk of fall-related injuries."
"42259555"	"10.1136/bmjopen-2026-117632"	"2026"	"BMJ open"	"Auricular Point Acupressure Self-Management (APA-SM) program for chronic musculoskeletal pain among rural populations: a protocol for a pragmatic, randomized controlled trial."	"Yes"	"INTRODUCTION: Chronic musculoskeletal pain (CMP) is a leading cause of incurred personal healthcare costs and disability in the USA. It disproportionately affects rural populations, who are more likely to be uninsured, lack access to a regular healthcare provider and experience a higher prevalence of CMP. As a result of reduced access to non-pharmacological care, there is greater reliance on opioids. The Auricular Point Acupressure - Self-Management (APA-SM) program is a simple, needleless, evidence-based therapy that empowers individuals to self-manage their pain. Preliminary studies, including a recent UG3 pilot testing, demonstrated feasibility, safety and significant improvements in pain and function. Guided by Bandura's self-efficacy model and informed by stakeholder input, APA-SM integrates a smartphone application, ecological momentary assessment and personalized motivational messaging to enhance adherence and behavior change. This study protocol describes the design of a real-world, hybrid effectiveness-implementation, randomized controlled trial to evaluate the clinical impact and sustainability of APA-SM in rural settings. METHODS AND ANALYSIS: We will conduct a pragmatic, three-arm randomized controlled trial in Texas and South Carolina, enrolling 693 adults with CMP (231 per group). Participants will be randomized to: (1) APA-SM with remote training, (2) APA-SM with in-person training or (3) education control. The primary outcome is pain impact measured by the PEG (composite score of pain intensity, interference on enjoyment of life, and general activity) scale at immediate post-intervention (4 weeks), with follow-up at 1, 3 and 6 months. Secondary outcomes include National Institutes of Health Helping to End Addiction Long-Term Clinical Pain Core common data elements (eg, psychological functioning, disability, sleep, quality of life), opioid use and patient-reported adherence and satisfaction. Implementation outcomes will be assessed at both the patient and provider levels, guided by the RE-AIM framework. Cost-effectiveness will be estimated using implementation costs and incremental cost-effectiveness ratios, and predictive factors for APA-SM treatment response will be identified using statistical machine learning approaches and historical electronic health record data. The target sample size (231 per group) provides 90% power to detect a moderate effect size (Cohen's =0.35), accounting for 25% attrition. Randomization occurs at the participant level to reflect real-world delivery and minimize contamination. ETHICS AND DISSEMINATION: This study, sponsored under grant number 4UH3AT012728, has single Institutional Review Board (IRB) approval at UTHealth Houston, Texas, USA (HSC-SN-25-0443). A Data Safety Monitoring Board will oversee adverse event reporting and trial conduct. Dissemination will occur through peer-reviewed publications, conference presentations, stakeholder workshops and community-based reports tailored for rural health systems and policymakers. DISCUSSION: This trial will provide the first large-scale evaluation of APA-SM in rural U.S. populations, integrating digital health tools and implementation science methods to help address disparities in pain management. By assessing clinical effectiveness, implementation outcomes, cost-effectiveness and predictive response factors, study results will inform scalable strategies for integrating APA-SM further into rural communities and healthcare systems. If successful, APA-SM has the potential to improve pain care access, reduce opioid reliance and provide a sustainable, patient-centered model for chronic pain management. TRIAL REGISTRATION NUMBER: NCT07179016."
"42242288"	"10.1002/bcp.70633"	"2026"	"British journal of clinical pharmacology"	"Awareness of the Black Triangle Scheme among healthcare professionals and consumers in Australia: A mixed-methods study exploring reporting intentions and suggested improvements."	"Yes"	"AIMS: The Black Triangle Scheme, introduced in 2018 in Australia, does not appear to have increased the quantity of adverse drug event (ADE) reports. This study evaluated healthcare professionals' (HCPs') and consumers' awareness of the scheme, its influence on intentions for future ADE reporting, and suggested improvements. METHODS: A mixed-methods study was conducted (August-December 2024) consisting of an online questionnaire and follow-up interviews with HCPs (doctors, pharmacists, nurses) and consumers in Australia. Descriptive and qualitative data analyses were conducted. RESULTS: A total of 405 participants completed the questionnaire (138 HCPs, 267 consumers). Half of the HCPs (52%) and a tenth of the consumers (10%) were aware of the scheme. After viewing the symbol, 66.2% reported being likely or very likely to report an ADE linked to a medicine carrying it. Twenty-one participated in the interviews (11 HCPs, 10 consumers). Interviewees suggested various strategies to improve awareness, including social media, television, posters and printed labels. Most noted that the Black Triangle symbol, in its current form and placement within medicine leaflets, is easy to miss. Once the scheme's purpose was explained, participants described it as ""very important"" and a ""good initiative"" to enhance medicine safety. Interview participants expressed mixed views on the scheme's impact on their future ADE reporting. CONCLUSION: Awareness of the scheme was notably lower among consumers than HCPs. Once informed, most participants viewed the scheme favourably and indicated a greater likelihood of reporting. However, issues related to the visibility and meaning of the Black Triangle symbol were raised."
"42250983"	"10.1016/j.sapharm.2026.06.001"	"2026"	"Research in social & administrative pharmacy : RSAP"	"Psychological need satisfaction and adverse drug reaction reporting intention: An integrated model among healthcare professionals."	"Yes"	"BACKGROUND: Underreporting of adverse drug reactions (ADRs) remains a major challenge in pharmacovigilance systems worldwide. Understanding the psychological and behavioral determinants of reporting intention may inform more effective interventions. OBJECTIVE: This study aimed to examine behavioral and psychological determinants influencing ADR reporting intentions among healthcare professionals using an integrated model based on the Theory of Planned Behavior (TPB) and Self-Determination Theory (SDT) framework. METHODS: A cross-sectional web-based survey was conducted among healthcare professionals (physicians, pharmacists and nurses) in Taiwan between January and April 2023 (N = 534). Constructs were developed based on Basic Psychological Needs Satisfaction (BPNS) and the Theory of Planned Behavior (TPB). Exploratory factor analysis was conducted to examine the structure of subjective norm components, and structural equation modeling (SEM) was applied to assess hypothesized relationships. RESULTS: BPNS showed a significant positive direct association with ADR reporting intention (β = 1.117, p < 0.001). Attitude (β = 0.124, p = 0.032) and motivation to comply (β = 0.163, p < 0.001) were positively associated with intention, whereas normative beliefs (β = -0.586, p = 0.005) and knowledge (β = -0.124, p < 0.001) showed negative associations. Perceived behavioral control was not significantly associated with intention (p = 0.312). BPNS also demonstrated significant indirect effects through motivational and normative pathways. CONCLUSIONS: ADR reporting intention is shaped not only by cognitive evaluations but also by psychological needs and motivational processes. The overall TPB constructs did not uniformly predict intention, highlighting the importance of distinguishing between different normative components. Interventions focusing solely on knowledge or normative pressure may be insufficient. Strategies that support healthcare professionals' autonomy, competence, and relatedness may foster more sustainable improvements in pharmacovigilance participation."
"42214618"	"10.1016/j.rceng.2026.502577"	"2026"	"Revista clinica espanola"	"Notification of suspected adverse drug reactions by nurses to a hospital pharmacovigilance program. Retrospective descriptive study."	"Yes"	"INTRODUCTION: Adverse drug reactions (ADR) are a common cause of illness. The Spontaneous reporting of adverse drug reactions is essential to characterize drug toxicity. Nurses, due to their proximity to patients, can contribute to detect them. The purpose is to describe the number of notifications of adverse drug reactions from nurses after a set of actions aimed at promoting reporting. MATERIAL AND METHOD: Single-center observational, retrospective, and descriptive study on the characteristics and number of spontaneous ADR reports made by nurses following the implementation of informational/training actions in different health care areas of a tertiary hospital. RESULTS: Of the total 806 of suspected adverse drug reactions, nurses reported 124 (38.51%). There was a predominance of women 77 (62,1%), with a mean age of 54 years; 22.6% were over 65 years of age and 61.3% were polymedicated (five or more drugs prescribed). The most frequently reported reactions were skin disorders, and 71% of them resolved within 24 h. Intravenous contrast agents for diagnostic testing were the most reported drugs. In 116 (93.5%) of cases, the reactions were considered definitively or probably related to the drug. CONCLUSIONS: It is essential to promote the role of nurses in increasing adverse drug reactions reporting in order to sustainably strengthen pharmacovigilance systems. Continuous training that is adapted and maintained over time, as well as intuitive and accessible notification circuits, can contribute to improving participation."
