"No"	"PMID"	"DOI"	"Year"	"Title"
"1"	"42359924"	"10.1111/nicc.70561"	"2026"	"Implementation of Graded Intra-Hospital Transport Protocols for ICU Patients in Southwest China: A Multicentre Cross Sectional Survey."
"2"	"42354585"	"10.3390/healthcare14121727"	"2026"	"Factors of the Nursing Practice Environment Shaping Nurses' Perceived Benefits of Adverse Event Reporting: A Cross-Sectional Study Among Primary Healthcare Nurses."
"3"	"42295693"	"10.1007/s43440-026-00873-3"	"2026"	"Italian regional data and oropharyngeal adverse events to drugs and vaccines: insights from a 3-year spontaneous reporting (2022-2024)."
"4"	"42274832"	"10.1007/s10916-026-02423-z"	"2026"	"Feasibility Evaluation of a Standalone Virtual Reality System for Neonatal Resuscitation Training."
"5"	"42270105"	"10.1136/bmjopen-2025-107828"	"2026"	"Driving factors and barriers to irrational antibiotic prescribing in Pakistan: a qualitative study of physicians', pharmacists' and nurses' perspectives in public and private hospitals."
"6"	"42259568"	"10.1136/bmjopen-2026-119277"	"2026"	"Analysis of factors associated with severity categories of fall-related injuries among inpatients at a tertiary grade A hospital in Zhejiang province from 2015 to 2025: a retrospective observational study."
"7"	"42259555"	"10.1136/bmjopen-2026-117632"	"2026"	"Auricular Point Acupressure Self-Management (APA-SM) program for chronic musculoskeletal pain among rural populations: a protocol for a pragmatic, randomized controlled trial."
"8"	"42242288"	"10.1002/bcp.70633"	"2026"	"Awareness of the Black Triangle Scheme among healthcare professionals and consumers in Australia: A mixed-methods study exploring reporting intentions and suggested improvements."
"9"	"42250983"	"10.1016/j.sapharm.2026.06.001"	"2026"	"Psychological need satisfaction and adverse drug reaction reporting intention: An integrated model among healthcare professionals."
"10"	"42214618"	"10.1016/j.rceng.2026.502577"	"2026"	"Notification of suspected adverse drug reactions by nurses to a hospital pharmacovigilance program. Retrospective descriptive study."
"11"	"42189579"	"10.2196/87898"	"2026"	"Simulation-Based Training for Nursing Students to Improve Patient Safety: Systematic Review."
"12"	"42175887"	"10.12968/bjon.2025.0322"	"2026"	"The STEPs educational framework for medicines management: using mnemonics to reduce harm."
"13"	"42180784"	"10.3389/fmed.2026.1839528"	"2026"	"Intraoperative peripheral intravenous complications in adults: a summary of evidence for prevention and management of infiltration/extravasation."
"14"	"42218738"	"10.1001/jamahealthforum.2026.1642"	"2026"	"Regulatory Definitions and Classification of Biosimilar Medications Across the 6 Regions of the World Health Organization: A Scoping Review."
"15"	"41943146"	"10.1186/s12912-026-04620-0"	"2026"	"Strengthening pharmacovigilance in emergency care: knowledge, attitudes and barriers to adverse drug reaction reporting among nurses in Ghana."
"16"	"41943791"	"10.1177/00185787261425847"	"2026"	"Practice and Determinants of Spontaneous Adverse Drug Reaction Reporting Among Healthcare Professionals: A Multicenter Cross-Sectional Study in Vietnam."
"17"	"41975933"	"10.3390/healthcare14070930"	"2026"	"Barriers to Adverse Drug Reaction Reporting Among Physicians, Nurses, and Pharmacists: A Scoping Review Comparing High-Income Versus Low-/Middle-Income Countries."
"18"	"41776576"	"10.1186/s12912-026-04506-1"	"2026"	"The dark side of nurse-manager leadership: toxic leadership behaviours, adverse-event reporting, and care quality-an interpretive descriptive study."
"19"	"41946650"	"10.1080/20415990.2026.2655547"	"2026"	"Subcutaneous atezolizumab for the treatment of non-small cell lung cancer."
"20"	"41869795"	"10.1701/4669.46827"	"2026"	"[Pharmacovigilance and antibiotic resistance: analysis of real-world data from the Rizzoli Orthopedic Institute in the management of antibiotic-related adverse drug reactions in musculoskeletal diseases.]."
"21"	"41730795"	"10.1002/phar.70096"	"2026"	"Maternal and Pediatric Precision in Therapeutic Knowledge Portal (MPRINT-KP): Landscape Analysis of Pharmacology Research in Maternal and Pediatric Patient Populations."
"22"	"41755416"	"10.1111/jvp.70054"	"2026"	"Teaching Student Veterinary Professionals About Pharmacovigilance: A Survey of UK Veterinary Educators."
"23"	"41680801"	"10.1186/s12913-026-14154-5"	"2026"	"A systematic review and meta-analysis of knowledge, attitude, and practice survey on materiovigilance among healthcare professionals."
"24"	"41540183"	"10.1007/s00520-025-10310-5"	"2026"	"The effectiveness of telemonitoring, either self-administered or professionally assisted, in cancer care management: a descriptive, retrospective, observational cohort study."
"25"	"41478707"	"10.1016/j.pedhc.2025.07.016"	"2026"	"Monitoring Vaccine Safety: United States Vaccine Safety Surveillance Systems."
"26"	"41430675"	"10.1186/s12912-025-04104-7"	"2025"	"Design and practice of a novice nurse patient safety training curriculum: a quasi-experimental study."
"27"	"41405272"	"10.1097/JS9.0000000000004467"	"2025"	"Anticoagulant-associated bleeding: real-world data-driven pharmacovigilance and insights for bleeding management."
"28"	"41473703"	"10.3389/fpubh.2025.1703929"	"2025"	"Patient safety culture assessment in five public hospitals of Sichuan Province: a cross-sectional study with HSOPSC 2.0."
"29"	"41450481"	"10.3389/frhs.2025.1720494"	"2025"	"Challenges and dynamics in reporting medical device incidents: a qualitative study."
"30"	"40688798"	"10.1016/j.dialog.2025.100227"	"2025"	"Assessment of pharmacovigilance knowledge and ADR reporting skills in undergraduate medical students using the OSPA model."
"31"	"41184753"	"10.1186/s12879-025-11592-0"	"2025"	"Understanding causes of incomplete reports of adverse drug reactions associated with dolutegravir-based HIV treatment in uganda: a qualitative study."
"32"	"40853444"	"10.1007/s40290-025-00580-z"	"2025"	"Awareness and Experience of Direct Healthcare Professional Communication and Risk Management Plan Educational Material among Healthcare Professionals in Finland."
"33"	"39948219"	"10.1111/jan.16812"	"2025"	"Enhancing Adverse Event Reporting With Clinical Language Models: Inpatient Falls."
"34"	"41169539"	"10.1080/20523211.2025.2575828"	"2025"	"Promoting pharmacovigilance through educational strategies: impact of a national training intervention on the knowledge and practice of healthcare providers in Jordan."
"35"	"41131514"	"10.1186/s12912-025-03973-2"	"2025"	"Predictors of adverse event reporting intention among primary care nurses: a multi-center study in China."
"36"	"41088086"	"10.1186/s12903-025-07020-z"	"2025"	"Sharps injuries in a dental specialty hospital: retrospective analysis of occupational risks, 2020-2024."
"37"	"40445548"	"10.1007/s40801-025-00492-z"	"2025"	"Understanding Underreporting of Adverse Drug Reactions in the Philippines: A Mixed Methods Study."
"38"	"40909003"	"10.3389/fneur.2025.1632231"	"2025"	"Dexamethasone in brain tumor patients: a real-world pharmacovigilance audit."
"39"	"40783750"	"10.1186/s12912-025-03678-6"	"2025"	"Investigating the prevalence of medication near-misses and reporting intention among nurses in tertiary hospitals from China."
"40"	"40660953"	"10.1177/10781552251358171"	"2025"	"Frequency of adverse drug reactions in cancer patients: A study at the oncology department of a university hospital."
"41"	"39381898"	"10.1111/jocn.17483"	"2025"	"Analysis of the Incidence and Factors Influencing Medication Administration Errors Among Nurses: A Retrospective Study."
"42"	"40657641"	"10.3389/fphar.2025.1592957"	"2025"	"Pharmacovigilance-related events, disease burden and overall efficiency of care in european countries, 1990-2021."
"43"	"40401039"	"10.1155/jonm/9921349"	"2025"	"Reducing Adverse Drug Reactions for Older People in the Community: Evaluating the Validity and Reliability of the ADRe Profile."
"44"	"40366197"	"10.4274/tjps.galenos.2025.44902"	"2025"	"Integrating a Pharmacovigilance and Response Unit Team for a Better Adverse Drug Reaction Reporting and Management: Insights from a Prospective Cross-Sectional Study."
"45"	"39888187"	"10.1111/jnu.13051"	"2025"	"The Effect of Toolbox Trainings on Nursing Sensitive Quality Indicators: A Randomized Controlled Trial."
"46"	"40306997"	"10.1136/bmjopen-2024-092430"	"2025"	"Cohort profile: measuring adverse pregnancy and newborn congenital outcomes (MANGO) study in Kenya."
"47"	"40356726"	"10.4102/jphia.v16i1.678"	"2025"	"COVID-19 vaccine uptake and predictors of hesitancy among healthcare workers in Côte d'Ivoire."
"48"	"40278770"	"10.3390/tropicalmed10040097"	"2025"	"COVID-19 in Morocco: Nurses' Knowledge of Anti-COVID-19 Vaccines and Their Involvement in Vaccine Vigilance."
"49"	"40134523"	"10.2147/RMHP.S482233"	"2025"	"Reducing Nurses' Barriers to Reporting Adverse Events Using a WeChat-Based Cognitive Load Training Platform: An Open-Label, Randomized Controlled Trial."
"50"	"40071111"	"10.3389/fpubh.2025.1518552"	"2025"	"Adverse events and contributing factors in Chinese nursing homes: a multisite cross-sectional study."
"51"	"40144077"	"10.1007/s40670-024-02162-1"	"2025"	"Adequacy of Pharmacovigilance Training in the Health Professional Training Institutions in Uganda: Training Gaps and Opportunities for Improvement."
"52"	"39935717"	"10.36401/JQSH-24-29"	"2025"	"Assessing Patient Safety Culture and Adverse Events Reporting Among Nurses: A Cross-Sectional Study in Ghana."
"53"	"39259332"	"10.1007/s00210-024-03431-x"	"2025"	"Barriers in reporting adverse effects of medical devices: a literature review."
"54"	"39103307"	"10.1111/risa.17600"	"2025"	"Lost needles, pads and where to find them."
"55"	"39896316"	"10.5334/gh.1393"	"2025"	"Acceptability and Implementation Challenges of Benzathine Penicillin G Secondary Prophylaxis for Rheumatic Heart Disease in Ethiopia: A Qualitative Study."
"56"	"39875957"	"10.1186/s12913-024-12139-w"	"2025"	"Barriers to and facilitators of healthcare professionals in ADR reporting in a tertiary care hospital in India."
"57"	"40017961"	"10.1136/bmjph-2024-001776"	"2025"	"Improving the provision of clinical pharmacy services in low- and middle-income countries: a qualitative study in tertiary health facilities in Tanzania."
"58"	"39844473"	"10.1111/cts.70134"	"2025"	"Knowledge, Attitude, Practice, and Barriers of Adverse Drug Reaction Reporting Among Healthcare Professionals in Timor-Leste: A Cross-Sectional Survey."
"59"	"39770496"	"10.3390/ph17121654"	"2024"	"System.Xml.XmlElement"
"60"	"39712313"	"10.3389/fpubh.2024.1434387"	"2024"	"Nurses' adverse event reporting attitudes and related factors: a cross-sectional study in maternal and child specialized hospitals in China."
"61"	"39734877"	"10.1016/j.mjafi.2023.03.005"	"2024"	"A questionnaire-based study on the knowledge, attitude and practice on pharmacovigilance among pharmacists and nursing staff at teaching hospitals."
"62"	"38650586"	"10.1111/inr.12962"	"2024"	"The association between the adverse event reporting system and burnout and job satisfaction of nurses: Workplace violence as a mediator."
"63"	"39470185"	"10.1002/14651858.CD012594.pub2"	"2024"	"Improving adverse drug event reporting by healthcare professionals."
"64"	"39469317"	"10.1080/20523211.2024.2417410"	"2024"	"Exploring the influencing factors of adverse drug reaction reporting among medical personnel: a COM-B model-based study."
"65"	"39375182"	"10.1136/bmjopen-2024-087701"	"2024"	"Exploring willingness to use adverse drug reaction reporting systems: a multicentre qualitative study in China based on the technology acceptance model and task-technology fit integration approach."
"66"	"39445248"	"10.7759/cureus.69981"	"2024"	"Awareness and Knowledge of Adverse Drug Reactions and Pharmacovigilance Among Medical and Nursing Students and Staff in a Tertiary Care Hospital."
"67"	"39161496"	"10.7759/cureus.64978"	"2024"	"Knowledge, Attitude, and Practice of Materiovigilance Among Healthcare Professionals at a Tertiary Care Teaching Hospital."
"68"	"39038315"	"NA"	"2024"	"Study on the Current Situation of the Intention to Report Adverse Events of Nurses in the Department of Hematology and Its Influencing Factors."
